Date/Time,Climate Temperature,Global Light Energy Wm2
"2019/07/11, 00:00:00",77,1
"2019/07/11, 00:15:00",77.3,1
"2019/07/11, 00:30:00",76.8,1
"2019/07/11, 00:45:00",76.4,1
"2019/07/11, 01:00:00",76.4,1
"2019/07/11, 01:15:00",76.1,1
"2019/07/11, 01:30:00",75.4,1
"2019/07/11, 01:45:00",73.9,0
"2019/07/11, 02:00:00",73.2,0
"2019/07/11, 02:15:00",72.6,0
"2019/07/11, 02:30:00",72.2,0
"2019/07/11, 02:45:00",71.9,0
"2019/07/11, 03:00:00",71.6,0
"2019/07/11, 03:15:00",71.4,0
"2019/07/11, 03:30:00",71.2,0
"2019/07/11, 03:45:00",71,0
"2019/07/11, 04:00:00",70.3,0
"2019/07/11, 04:15:00",70,0
"2019/07/11, 04:30:00",69,0
"2019/07/11, 04:45:00",68.2,0
"2019/07/11, 05:00:00",70,0
"2019/07/11, 05:15:00",71.4,0
"2019/07/11, 05:30:00",71.7,0
"2019/07/11, 05:45:00",71.1,0
"2019/07/11, 06:00:00",70.8,1
"2019/07/11, 06:15:00",71,1
"2019/07/11, 06:30:00",71.1,1
"2019/07/11, 06:45:00",71.2,2
"2019/07/11, 07:00:00",71.4,2
"2019/07/11, 07:15:00",71.6,3
"2019/07/11, 07:30:00",72,2
"2019/07/11, 07:45:00",72,2
"2019/07/11, 08:00:00",73.1,2
"2019/07/11, 08:15:00",74.2,2
"2019/07/11, 08:30:00",75.1,167
"2019/07/11, 08:45:00",77.3,466
"2019/07/11, 09:00:00",78.1,498
"2019/07/11, 09:15:00",79.1,573
"2019/07/11, 09:30:00",81.8,619
"2019/07/11, 09:45:00",88,667
"2019/07/11, 10:00:00",87.5,713
"2019/07/11, 10:15:00",87.4,758
"2019/07/11, 10:30:00",87.1,799
"2019/07/11, 10:45:00",87.7,841
"2019/07/11, 11:00:00",90.3,879
"2019/07/11, 11:15:00",92.9,913
"2019/07/11, 11:30:00",93.4,948
"2019/07/11, 11:45:00",94,973
"2019/07/11, 12:00:00",95,995
"2019/07/11, 12:15:00",96,1018
"2019/07/11, 12:30:00",96.9,1034
"2019/07/11, 12:45:00",97.9,1047
"2019/07/11, 13:00:00",98.9,1057
"2019/07/11, 13:15:00",100,1065
"2019/07/11, 13:30:00",99.9,1065
"2019/07/11, 13:45:00",99.9,1060
"2019/07/11, 14:00:00",100.5,1059
"2019/07/11, 14:15:00",101.6,1052
"2019/07/11, 14:30:00",104.2,1043
"2019/07/11, 14:45:00",104.1,1027
"2019/07/11, 15:00:00",103.2,1010
"2019/07/11, 15:15:00",103.6,991
"2019/07/11, 15:30:00",105,967
"2019/07/11, 15:45:00",105.2,938
"2019/07/11, 16:00:00",105.2,908
"2019/07/11, 16:15:00",105.6,873
"2019/07/11, 16:30:00",105.6,797
"2019/07/11, 16:45:00",103.6,600
"2019/07/11, 17:00:00",104,768
"2019/07/11, 17:15:00",103.8,651
"2019/07/11, 17:30:00",102.3,197
"2019/07/11, 17:45:00",102.1,128
"2019/07/11, 18:00:00",102.3,93
"2019/07/11, 18:15:00",98.9,59
"2019/07/11, 18:30:00",96.1,57
"2019/07/11, 18:45:00",94.9,65
"2019/07/11, 19:00:00",94.2,76
"2019/07/11, 19:15:00",93.9,91
"2019/07/11, 19:30:00",93.7,100
"2019/07/11, 19:45:00",93.6,81
"2019/07/11, 20:00:00",92.9,85
"2019/07/11, 20:15:00",92.4,56
"2019/07/11, 20:30:00",91.1,17
"2019/07/11, 20:45:00",89.9,20
"2019/07/11, 21:00:00",89,7
"2019/07/11, 21:15:00",87.5,1
"2019/07/11, 21:30:00",86.9,0
"2019/07/11, 21:45:00",86.1,0
"2019/07/11, 22:00:00",84.7,0
"2019/07/11, 22:15:00",84.2,0
"2019/07/11, 22:30:00",83.7,0
"2019/07/11, 22:45:00",83.6,0
"2019/07/11, 23:00:00",83.7,0
"2019/07/11, 23:15:00",83.3,0
"2019/07/11, 23:30:00",82.7,0
"2019/07/11, 23:45:00",82.1,0
"2019/07/12, 00:00:00",82.1,0
"2019/07/12, 00:15:00",82,0
"2019/07/12, 00:30:00",81.4,0
"2019/07/12, 00:45:00",81.7,0
"2019/07/12, 01:00:00",82.3,0
"2019/07/12, 01:15:00",82.4,0
"2019/07/12, 01:30:00",82.6,0
"2019/07/12, 01:45:00",82.5,0
"2019/07/12, 02:00:00",81.1,0
"2019/07/12, 02:15:00",79.7,0
"2019/07/12, 02:30:00",78.7,0
"2019/07/12, 02:45:00",77.2,0
"2019/07/12, 03:00:00",76.3,0
"2019/07/12, 03:15:00",75.4,0
"2019/07/12, 03:30:00",74.3,0
"2019/07/12, 03:45:00",73.2,0
"2019/07/12, 04:00:00",72.5,0
"2019/07/12, 04:15:00",72.2,0
"2019/07/12, 04:30:00",72.2,1
"2019/07/12, 04:45:00",71.9,1
"2019/07/12, 05:00:00",71.2,1
"2019/07/12, 05:15:00",71.6,1
"2019/07/12, 05:30:00",71.9,1
"2019/07/12, 05:45:00",71.4,1
"2019/07/12, 06:00:00",71.3,1
"2019/07/12, 06:15:00",71.4,2
"2019/07/12, 06:30:00",71.2,3
"2019/07/12, 06:45:00",71.5,3
"2019/07/12, 07:00:00",71.8,4
"2019/07/12, 07:15:00",72.9,3
"2019/07/12, 07:30:00",73.5,3
"2019/07/12, 07:45:00",74.8,2
"2019/07/12, 08:00:00",76.3,2
"2019/07/12, 08:15:00",78.3,2
"2019/07/12, 08:30:00",80,2
"2019/07/12, 08:45:00",81.6,2
"2019/07/12, 09:00:00",81.9,3
"2019/07/12, 09:15:00",88.3,3
"2019/07/12, 09:30:00",92.5,3
"2019/07/12, 09:45:00",95.3,4
"2019/07/12, 10:00:00",94.8,4
"2019/07/12, 10:15:00",95.3,4
"2019/07/12, 10:30:00",95.2,4
"2019/07/12, 10:45:00",95.7,4
"2019/07/12, 11:00:00",98.4,5
"2019/07/12, 11:15:00",100.1,5
"2019/07/12, 11:30:00",101.3,4
"2019/07/12, 11:45:00",102.6,3
"2019/07/12, 12:00:00",102.5,3
"2019/07/12, 12:15:00",99.4,3
"2019/07/12, 12:30:00",95.7,2
"2019/07/12, 12:45:00",93,2
"2019/07/12, 13:00:00",92.2,2
"2019/07/12, 13:15:00",92.4,2
"2019/07/12, 13:30:00",92.2,3
"2019/07/12, 13:45:00",92.5,2
"2019/07/12, 14:00:00",91.5,2
"2019/07/12, 14:15:00",90.3,2
"2019/07/12, 14:30:00",90,2
"2019/07/12, 14:45:00",90.9,3
"2019/07/12, 15:00:00",95.2,3
"2019/07/12, 15:15:00",96.1,3
"2019/07/12, 15:30:00",97.6,3
"2019/07/12, 15:45:00",96.7,3
"2019/07/12, 16:00:00",93.8,3
"2019/07/12, 16:15:00",92.3,2
"2019/07/12, 16:30:00",91.7,3
"2019/07/12, 16:45:00",92,3
"2019/07/12, 17:00:00",92.2,3
"2019/07/12, 17:15:00",91.4,2
"2019/07/12, 17:30:00",93.5,3
"2019/07/12, 17:45:00",96.9,3
"2019/07/12, 18:00:00",98.1,2
"2019/07/12, 18:15:00",98.4,2
"2019/07/12, 18:30:00",99.1,2
"2019/07/12, 18:45:00",99.5,3
"2019/07/12, 19:00:00",98.9,3
"2019/07/12, 19:15:00",96,2
"2019/07/12, 19:30:00",90.6,2
"2019/07/12, 19:45:00",88.6,2
"2019/07/12, 20:00:00",87,2
"2019/07/12, 20:15:00",86.4,2
"2019/07/12, 20:30:00",85.2,2
"2019/07/12, 20:45:00",83.5,2
"2019/07/12, 21:00:00",82.5,1
"2019/07/12, 21:15:00",81.5,1
"2019/07/12, 21:30:00",81.3,0
"2019/07/12, 21:45:00",80.5,0
"2019/07/12, 22:00:00",79.8,0
"2019/07/12, 22:15:00",78.7,0
"2019/07/12, 22:30:00",78.4,0
"2019/07/12, 22:45:00",78.8,1
"2019/07/12, 23:00:00",78.4,0
"2019/07/12, 23:15:00",78,1
"2019/07/12, 23:30:00",78,0
"2019/07/12, 23:45:00",77.5,0
"2019/07/13, 00:00:00",77.3,1
"2019/07/13, 00:15:00",76.7,1
"2019/07/13, 00:30:00",76,0
"2019/07/13, 00:45:00",75.5,0
"2019/07/13, 01:00:00",74.9,0
"2019/07/13, 01:15:00",74.4,0
"2019/07/13, 01:30:00",73.5,0
"2019/07/13, 01:45:00",72.9,0
"2019/07/13, 02:00:00",72.4,0
"2019/07/13, 02:15:00",71.9,0
"2019/07/13, 02:30:00",71.2,0
