millis,stamp,datetime,diff01,diff23,Temp1C,Temp2C,BattVolt,,,,,,,stamp,datetime,diff01,diff23,Temp1C,Temp2C,BattVolt,BoostVolt,Initial Diff01,Initial Diff23
1214000,1538406001," ""2018/10/1 15:0:1""",634.84,628.47,NAN,NAN,12.5,,100,,,,,1538406001," ""2018/10/1 15:0:1""",40.56,24.75,NAN,NAN,12.5,0,634.84,628.47
1214999,1538406002," ""2018/10/1 15:0:2""",628.25,622.25,20.06,20,12.56,,3599,,,,,,,,,,,,,,
1215998,1538406003," ""2018/10/1 15:0:3""",624.63,619,20.06,20,12.56,,3599,,,,,,,,,,,,,,
1216999,1538406004," ""2018/10/1 15:0:4""",622.13,616.91,20.06,20.06,12.56,,3599,,,,,,,,,,,,,,
1217999,1538406005," ""2018/10/1 15:0:5""",620.22,615.41,20.06,20.06,12.54,,3599,,,,,,,,,,,,,,
1218999,1538406006," ""2018/10/1 15:0:6""",618.69,614.28,20.06,20.06,12.54,,3599,,,,,,,,,,,,,,
1219999,1538406007," ""2018/10/1 15:0:7""",617.38,613.41,20.06,20.06,12.54,,3599,,,,,,,,,,,,,,
1220999,1538406008," ""2018/10/1 15:0:8""",616.25,612.69,20.06,20.06,12.54,,3599,,,,,,,,,,,,,,
1221999,1538406009," ""2018/10/1 15:0:9""",615.22,612.06,20.06,20.06,12.54,,3599,,,,,,,,,,,,,,
1222999,1538406010," ""2018/10/1 15:0:10""",614.31,611.56,20.12,20.06,12.53,,3599,,,,,,,,,,,,,,
1223999,1538406011," ""2018/10/1 15:0:11""",613.47,611.13,20.06,20.06,12.53,,3599,,,,,,,,,,,,,,
1224999,1538406012," ""2018/10/1 15:0:12""",612.69,610.72,20.06,20.06,12.53,,3599,,,,,,,,,,,,,,
1225999,1538406013," ""2018/10/1 15:0:13""",611.97,610.38,20.12,20.06,12.53,,3599,,,,,,,,,,,,,,
1226998,1538406014," ""2018/10/1 15:0:14""",611.34,610.09,20.12,20.06,12.53,,3599,,,,,,,,,,,,,,
1227999,1538406015," ""2018/10/1 15:0:15""",610.72,609.78,20.12,20.06,12.53,,3599,,,,,,,,,,,,,,
