"by15","wind_speed_m_s","position","treatment","block"
2019-08-23 17:30:00,0.0103410907458248,"bottom","well_watered","W"
2019-08-23 17:45:00,0.00500583270847116,"bottom","well_watered","W"
2019-08-23 18:00:00,0.00479484850469378,"bottom","well_watered","W"
2019-08-23 18:15:00,0.00178478822562021,"bottom","well_watered","W"
2019-08-23 18:30:00,0.00275887686103125,"bottom","well_watered","W"
2019-08-23 18:45:00,0.00204257689204954,"bottom","well_watered","W"
2019-08-23 19:00:00,0.000438635408096728,"bottom","well_watered","W"
2019-08-23 19:15:00,5.54074096131631e-05,"bottom","well_watered","W"
2019-08-23 19:30:00,0.000393085552497636,"bottom","well_watered","W"
2019-08-23 19:45:00,0.00174638819997068,"bottom","well_watered","W"
2019-08-23 20:00:00,0.00443671697141997,"bottom","well_watered","W"
2019-08-23 20:15:00,1.47953544349936e-05,"bottom","well_watered","W"
2019-08-23 20:30:00,2.73957019947229e-05,"bottom","well_watered","W"
2019-08-23 20:45:00,0.000358254405631195,"bottom","well_watered","W"
2019-08-23 21:00:00,0.00126182334119365,"bottom","well_watered","W"
2019-08-23 21:15:00,0.00835080045625989,"bottom","well_watered","W"
2019-08-23 21:30:00,0.0137554335904234,"bottom","well_watered","W"
2019-08-23 21:45:00,0.0100359865472442,"bottom","well_watered","W"
2019-08-23 22:00:00,0.00388310779515899,"bottom","well_watered","W"
2019-08-23 22:15:00,0.00293660194024358,"bottom","well_watered","W"
2019-08-23 22:30:00,0.00101799841241741,"bottom","well_watered","W"
2019-08-23 22:45:00,0.00116481236243461,"bottom","well_watered","W"
2019-08-23 23:00:00,0.00509021549052105,"bottom","well_watered","W"
2019-08-23 23:15:00,0.00357269101137268,"bottom","well_watered","W"
2019-08-23 23:30:00,0.00205518103002667,"bottom","well_watered","W"
2019-08-23 23:45:00,0.00197583763865812,"bottom","well_watered","W"
2019-08-24 00:00:00,0.00290670231161623,"bottom","well_watered","W"
2019-08-24 00:15:00,0.0059036076478315,"bottom","well_watered","W"
2019-08-24 00:30:00,0.00373881938183951,"bottom","well_watered","W"
2019-08-24 00:45:00,0.00278199721424817,"bottom","well_watered","W"
2019-08-24 01:00:00,0.00350075431896502,"bottom","well_watered","W"
2019-08-24 01:15:00,0.00331211182710789,"bottom","well_watered","W"
2019-08-24 01:30:00,0.000658168241422887,"bottom","well_watered","W"
