Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
23/08/2019,18:15:00,30.6,-6.945,20.958,-5.42,1.04,-3.8,-0.159,-0.91,8.003,3.72,54.7,present ,15.2,216.9,
23/08/2019,18:30:00,30.48,-4.91,21.177,-5.22,1.04,-3.8,-0.579,-0.64,8.01,3.75,55.6,present ,15.2,216.6,
23/08/2019,18:45:00,29.78,-4.95,20.787,-5.22,1.04,-3.8,-0.744,-0.65,8.034,3.77,55.1,present ,15.2,216.6,
23/08/2019,19:00:00,29.04,-6.519,19.695,-5.26,1.04,-3.8,-0.737,-0.86,8.057,3.78,54.3,present ,15.19,216,
23/08/2019,19:15:00,28.13,-0.636,17.205,-3.98,1.04,-3.8,-0.614,-0.08,8.088,3.79,53.3,present ,15.22,215.4,
23/08/2019,19:30:00,27.38,-7.753,14.18,-4.26,1.04,-3.8,-0.663,-1.03,8.116,3.8,52.1,present ,15.26,214.8,
23/08/2019,19:45:00,26.49,-8.056,12.237,-3.89,1.04,-3.8,-0.618,-1.07,8.148,3.81,51.5,present ,15.25,214.2,
23/08/2019,20:00:00,25.55,-7.535,11.762,-3.78,1.04,-3.8,-0.459,-1.01,8.18,3.83,50.6,present ,15.25,213.9,
23/08/2019,20:15:00,25.18,-6.953,10.471,-3.4,1.04,-3.8,-0.415,-0.93,8.194,3.85,50.3,present ,15.25,213.6,
23/08/2019,20:30:00,25.26,-9.857,9.702,-3.58,1.04,-3.8,-0.664,-1.32,8.191,3.88,50.2,present ,15.25,213.6,
23/08/2019,20:45:00,25.44,-10.402,9.192,-3.51,1.04,-3.8,-0.651,-1.39,8.184,3.91,49.9,present ,15.25,213.6,
23/08/2019,21:00:00,25.55,-2.346,9.476,-2.49,1.04,-3.8,-0.586,-0.31,8.18,3.93,49.9,present ,15.25,213.6,
23/08/2019,21:15:00,25.36,-9.179,9.489,-3.43,1.04,-3.8,-0.547,-1.23,8.187,3.96,49.5,present ,15.24,213.3,
23/08/2019,21:30:00,25.05,-9.111,10.027,-3.58,1.04,-3.8,-0.67,-1.22,8.198,3.99,49.5,present ,15.24,213.3,
23/08/2019,21:45:00,24.72,-9.579,10.364,-3.76,1.04,-3.8,-0.442,-1.28,8.208,4.03,49.5,present ,15.24,213,
23/08/2019,22:00:00,24.28,-10.082,10.779,-3.97,1.04,-3.8,-0.396,-1.35,8.226,4.08,48.6,present ,15.28,213,
23/08/2019,22:15:00,24.05,-9.611,11.09,-4.01,1.04,-3.8,-0.538,-1.29,8.233,4.13,47.9,present ,15.27,212.4,
23/08/2019,22:30:00,23.38,-8.971,11.918,-4.22,1.04,-3.8,-0.468,-1.21,8.258,4.18,46.2,present ,15.28,185.7,
23/08/2019,22:45:00,22,-1.542,12.29,-3.45,1.04,-3.8,-0.046,-0.21,8.305,4.19,35.5,present ,15.3,51.9,
23/08/2019,23:00:00,20.42,-2.291,12.791,-3.88,1.04,-3.8,0.209,-0.31,8.362,4.19,31,present ,15.29,46.8,
23/08/2019,23:15:00,19.76,-7.689,12.266,-4.54,1.04,-3.8,-0.076,-1.05,8.388,4.19,28.1,present ,15.29,45.9,
23/08/2019,23:30:00,19.24,-7.193,12.851,-4.72,1.04,-3.8,0.067,-0.99,8.406,4.19,27,present ,15.28,45.6,
23/08/2019,23:45:00,18.82,-4.607,13.133,-4.5,1.04,-3.8,0.041,-0.63,8.421,4.19,26.4,present ,15.28,45.6,
24/08/2019,0:00:00,18.92,-5.504,13.182,-4.63,1.04,-3.8,-0.208,-0.75,8.417,4.19,25.8,present ,15.28,45.6,
24/08/2019,0:15:00,18.78,-6.832,13.698,-5,1.04,-3.8,0.05,-0.94,8.425,4.19,25.4,present ,15.28,45.3,
24/08/2019,0:30:00,18.38,-2.196,13.666,-4.4,1.04,-3.8,0.018,-0.3,8.439,4.19,25.2,present ,15.29,45.9,
24/08/2019,0:45:00,18.06,-4.279,13.808,-4.78,1.04,-3.8,-0.023,-0.59,8.451,4.19,24.5,present ,15.28,45.6,
24/08/2019,1:00:00,17.96,-6.668,13.784,-5.12,1.04,-3.8,-0.069,-0.92,8.454,4.19,24.2,present ,15.28,45.3,
24/08/2019,1:15:00,18.02,-8.005,14.013,-5.37,1.04,-3.8,-0.185,-1.1,8.451,4.19,23.8,present ,15.28,45,
24/08/2019,1:30:00,18.36,-7.715,14.508,-5.44,1.04,-3.8,-0.234,-1.06,8.439,4.19,23.7,present ,15.28,45.3,
24/08/2019,1:45:00,18.9,-7.528,14.676,-5.38,1.04,-3.8,-0.172,-1.03,8.417,4.19,23.8,present ,15.28,45.3,
24/08/2019,2:00:00,19.16,-4.207,15.194,-5.05,1.04,-3.8,-0.062,-0.58,8.41,4.19,23.8,present ,15.28,45.3,
24/08/2019,2:15:00,19.3,-6.815,15.17,-5.38,1.04,-3.8,-0.08,-0.93,8.403,4.19,23.9,present ,15.28,45.3,
24/08/2019,2:30:00,19.54,-6.143,15.324,-5.3,1.04,-3.8,-0.082,-0.84,8.395,4.19,24.1,present ,15.28,45.3,
24/08/2019,2:45:00,19.59,-6.073,15.384,-5.3,1.04,-3.8,0.036,-0.83,8.395,4.19,24.2,present ,15.28,45,
24/08/2019,3:00:00,19.72,-6.951,15.488,-5.43,1.04,-3.8,0.061,-0.95,8.388,4.19,24.3,present ,15.28,45,
24/08/2019,3:15:00,19.71,-6.063,15.555,-5.33,1.04,-3.8,0.074,-0.83,8.388,4.19,24.4,present ,15.28,44.7,
24/08/2019,3:30:00,19.7,-4.116,15.669,-5.1,1.04,-3.8,-0.131,-0.56,8.388,4.19,24.4,present ,15.28,44.7,
24/08/2019,3:45:00,19.67,-7.261,15.471,-5.48,1.04,-3.8,-0.107,-0.99,8.392,4.19,24.4,present ,15.28,45,
24/08/2019,4:00:00,19.68,-7.385,15.544,-5.51,1.04,-3.8,-0.101,-1.01,8.392,4.19,24.4,present ,15.28,44.7,
24/08/2019,4:15:00,19.66,-7.046,15.353,-5.41,1.04,-3.8,-0.146,-0.96,8.392,4.19,24.3,present ,15.28,44.7,
24/08/2019,4:30:00,20.5,-8.365,15.953,-5.65,1.04,-3.8,-0.174,-1.14,8.359,4.19,24.6,present ,15.28,44.7,
24/08/2019,4:45:00,21.16,-8.145,16.294,-5.62,1.04,-3.8,-0.305,-1.11,8.337,4.19,24.9,present ,15.28,44.7,
24/08/2019,5:00:00,21.34,-7.697,16.238,-5.51,1.04,-3.8,-0.08,-1.05,8.33,4.19,25.2,present ,15.28,44.7,
24/08/2019,5:15:00,21.39,-4.88,16.237,-5.12,1.04,-3.8,-0.122,-0.66,8.33,4.19,25.5,present ,15.27,44.4,
24/08/2019,5:30:00,21.33,-7.251,16.149,-5.43,1.04,-3.8,-0.011,-0.99,8.33,4.19,25.3,present ,15.28,44.7,
24/08/2019,5:45:00,21.37,-5.681,15.954,-5.15,1.04,-3.8,0.019,-0.77,8.33,4.19,25.2,present ,15.27,44.4,
24/08/2019,6:00:00,21.14,-5.07,15.691,-5.02,1.04,-3.8,0.1,-0.69,8.337,4.19,25.2,present ,15.27,44.4,
24/08/2019,6:15:00,21.37,-6.027,16.029,-5.22,1.04,-3.8,-0.11,-0.82,8.33,4.19,25.3,present ,15.28,44.7,
24/08/2019,6:30:00,21.3,-5.979,15.696,-5.13,1.04,-3.8,0.013,-0.81,8.33,4.19,25.4,present ,15.27,44.4,
24/08/2019,6:45:00,21.61,-6.76,15.872,-5.24,1.04,-3.8,0.114,-0.92,8.319,4.19,25.5,present ,15.28,44.7,
24/08/2019,7:00:00,22.12,-6.131,16.243,-5.19,1.04,-3.8,0.42,-0.83,8.301,4.19,26.1,present ,15.28,44.7,
24/08/2019,7:15:00,22.57,-3.566,16.387,-4.82,1.04,-3.8,1.237,-0.48,8.287,4.19,27.3,present ,15.28,45,
24/08/2019,7:30:59,22.68,-0.483,16.648,-4.46,1.04,-3.8,2.398,-0.06,8.283,4.19,28.9,present ,15.28,45,
24/08/2019,7:45:00,23.3,-2.16,17.224,-4.76,1.04,-3.8,1.453,-0.29,8.258,4.19,31,present ,15.28,45.3,
24/08/2019,8:00:00,22.88,-1.903,16.561,-4.6,1.04,-3.8,1.366,-0.25,8.276,4.19,32.2,present ,15.28,45,
24/08/2019,8:15:00,23.51,-5.318,17.186,-5.15,1.04,-3.8,0.388,-0.71,8.251,4.19,32.59,present ,15.28,45,
24/08/2019,8:30:00,23.6,-2.21,17.237,-4.73,1.04,-3.8,1.381,-0.29,8.247,4.19,31.6,present ,15.31,44.4,
24/08/2019,8:45:00,24.32,-6.471,17.86,-5.38,1.04,-3.8,0.159,-0.87,8.222,4.19,30.8,present ,15.31,44.4,
24/08/2019,9:00:00,26,-10.139,18.832,-5.9,1.04,-3.8,0.004,-1.35,8.161,4.19,32.4,present ,15.28,45,
24/08/2019,9:15:00,26.91,-6.323,19.546,-5.46,1.04,-3.8,-0.082,-0.84,8.13,4.19,32.2,present ,15.31,44.4,
24/08/2019,9:30:00,27.85,-4.055,19.78,-5.09,1.04,-3.8,-1.529,-0.53,8.1,4.19,32.7,present ,15.28,44.7,
24/08/2019,9:45:00,29.38,-9.038,20.343,-5.7,1.04,-3.8,-3.36,-1.19,8.048,4.19,33.59,present ,15.28,44.7,
24/08/2019,10:00:00,29.88,-7.703,19.958,-5.38,1.04,-3.8,-2.794,-1.01,8.031,4.19,34.4,present ,15.31,44.7,
24/08/2019,10:15:00,30.2,-6.599,20.607,-5.34,1.04,-3.8,-2.593,-0.86,8.017,4.19,35.4,present ,15.31,44.7,
24/08/2019,10:30:00,30.95,-5.957,20.954,-5.25,1.04,-3.8,-2.198,-0.78,7.993,4.19,36,present ,15.31,44.7,
24/08/2019,10:45:00,31.18,-2.208,21.167,-4.78,1.04,-3.8,-1.192,-0.28,7.987,4.19,36.4,present ,15.31,44.7,
24/08/2019,11:00:00,31.29,-0.118,21.42,-4.56,1.04,-3.8,-0.372,-0.01,7.983,4.19,36.8,present ,15.31,45,
24/08/2019,11:15:00,31.4,0.148,21.485,-4.52,1.04,-3.8,-0.269,0.01,7.977,4.19,38.4,present ,15.32,45.3,
24/08/2019,11:30:00,31.81,-0.537,21.507,-4.57,1.04,-3.8,-0.526,-0.07,7.963,4.19,39.4,present ,15.31,45,
24/08/2019,11:45:00,32.18,-1.425,20.615,-4.45,1.04,-3.8,-1.067,-0.18,7.953,4.19,39.2,present ,15.31,45,
24/08/2019,12:00:00,31.55,-1.117,20.171,-4.38,1.04,-3.8,-0.954,-0.14,7.973,4.19,39,present ,15.31,45,
24/08/2019,12:15:00,31.45,-2.111,19.461,-4.36,1.04,-3.8,-1.279,-0.27,7.977,4.19,38.9,present ,15.31,45,
24/08/2019,12:30:00,31.28,-2.806,18.076,-4.16,1.04,-3.8,-1.49,-0.36,7.983,4.19,39.2,present ,15.31,45,
24/08/2019,12:45:00,30.97,-0.879,18.189,-3.96,1.04,-3.8,-0.499,-0.11,7.993,4.19,38.59,present ,15.31,44.7,
24/08/2019,13:00:00,31.41,-1.348,17.469,-3.82,1.04,-3.8,-0.862,-0.17,7.977,4.19,39,present ,15.32,45.3,
24/08/2019,13:15:00,31.73,-0.272,18.106,-3.79,1.04,-3.8,-0.401,-0.03,7.966,4.19,39.3,present ,15.31,44.7,
24/08/2019,13:30:00,32.15,-0.495,16.581,-3.44,1.04,-3.8,-0.574,-0.06,7.953,4.19,39.7,present ,15.31,45,
24/08/2019,13:45:00,31.94,1.349,16.588,-3.22,1.04,-3.8,0.068,0.17,7.96,4.19,40.09,present ,15.31,45,
24/08/2019,14:00:00,31.67,1.757,17.105,-3.31,1.04,-3.8,0.034,0.22,7.97,4.19,39.8,present ,15.31,45,
24/08/2019,14:15:00,31.34,0.718,14.469,-2.88,1.04,-3.8,-0.298,0.09,7.89,4.19,39.4,present ,15.31,45,
24/08/2019,14:30:00,31.09,1.339,13.008,-2.49,1.04,-3.8,-0.167,0.17,7.99,4.19,39.09,present ,15.31,45,
24/08/2019,14:45:00,31.57,-0.356,11.298,-2.29,1.04,-3.8,-0.582,-0.04,7.973,4.19,39.2,present ,15.31,44.7,
24/08/2019,15:00:00,32.31,-0.328,10.17,-2,1.04,-3.8,-0.671,-0.04,7.946,4.19,39.59,present ,15.31,45,
24/08/2019,15:15:00,32.49,0.655,9.298,-1.67,1.04,-3.8,-0.324,0.08,7.943,4.19,39.7,present ,15.31,45,
24/08/2019,15:30:00,32.22,1.012,8.01,-1.35,1.04,-3.8,-0.055,0.13,7.95,4.19,40.4,present ,15.31,45,
24/08/2019,15:45:00,31.55,0.771,6.777,-1.14,1.04,-3.8,-0.504,0.1,7.973,4.19,39.7,present ,15.31,44.7,
24/08/2019,16:00:00,30.88,0.617,6.227,-1.05,1.04,-3.8,-0.419,0.08,7.997,4.19,39.3,present ,15.31,45,
24/08/2019,16:15:00,31,-0.449,4.323,-0.76,1.04,-3.8,-0.668,-0.05,7.99,4.19,39.5,present ,15.31,45,
24/08/2019,16:30:00,31.16,1.283,5.175,-0.72,1.04,-3.8,-0.121,0.16,7.987,4.19,40.2,present ,15.31,45,
24/08/2019,16:45:00,30.84,0.618,3.216,-0.37,1.04,-3.8,-0.376,0.08,7.997,4.19,39.5,present ,15.31,45,
24/08/2019,17:00:00,30.49,0.962,3.271,-0.34,1.04,-3.8,-0.399,0.12,8.01,4.19,39,present ,15.31,44.7,
24/08/2019,17:15:00,30.02,0.857,3.341,-0.38,1.04,-3.8,-0.421,0.11,8.024,4.19,37.59,present ,15.31,44.7,
