treatment: dry
timestamp, Vin, w6_bottom, w6_top, w7_bottom, w7_top, w10_bottom, w10_top, w11_bottom, w11_top
2019/11/26 11:57:21,4.637,20.854,20.460,20.624,19.996,19.672,20.438,20.508,21.295
2019/11/26 11:58:21,4.612,23.519,22.703,22.647,22.059,21.954,22.841,22.062,23.292
treatment: dry
timestamp, Vin, w6_bottom, w6_top, w7_bottom, w7_top, w10_bottom, w10_top, w11_bottom, w11_top
2019/11/26 11:58:58,4.690,24.485,23.744,23.605,23.180,23.033,23.770,22.964,24.243
2019/11/26 11:59:58,4.655,25.195,24.643,23.930,23.657,23.243,24.078,23.417,24.407
2019/11/26 12:0:59,4.637,25.664,25.255,25.058,24.654,24.190,24.951,24.349,25.192
2019/11/26 12:1:59,4.635,22.546,22.698,22.443,22.457,21.916,22.254,22.988,22.836
2019/11/26 12:2:59,4.630,20.322,20.341,20.750,20.393,19.588,20.181,20.746,20.813
2019/11/26 12:3:59,4.621,23.148,22.572,22.673,22.107,21.825,22.639,21.933,23.126
2019/11/26 12:4:59,4.624,24.740,24.126,24.085,23.613,23.271,24.096,23.353,24.416
2019/11/26 12:6:0,4.628,25.382,24.957,24.697,24.344,23.864,24.173,23.582,24.552
2019/11/26 12:7:0,4.622,24.971,24.714,24.588,24.376,23.706,24.584,24.227,24.968
2019/11/26 12:8:0,4.605,20.733,20.378,21.394,21.353,20.385,20.987,21.992,21.805
2019/11/26 12:9:0,4.591,21.445,20.890,21.407,20.785,20.072,20.924,21.055,21.647
2019/11/26 12:10:1,4.589,23.678,22.813,22.982,22.420,22.057,22.922,22.319,23.412
2019/11/26 12:11:1,4.589,24.621,23.886,23.894,23.504,23.122,23.785,23.261,24.306
2019/11/26 12:12:1,4.577,25.197,24.644,24.464,24.227,23.641,24.426,23.953,24.930
2019/11/26 12:13:1,4.571,25.439,25.032,24.783,24.554,24.000,24.674,24.234,25.213
2019/11/26 12:14:2,4.539,24.173,23.945,23.942,23.714,23.082,23.745,23.756,24.404
2019/11/26 12:15:2,4.543,21.506,21.116,21.669,21.544,20.912,21.495,21.930,22.100
2019/11/26 12:16:2,4.536,23.623,22.858,23.059,22.559,22.120,23.010,22.620,23.620
2019/11/26 12:17:2,4.553,24.978,24.381,24.517,23.973,23.426,24.241,23.743,24.861
2019/11/26 12:18:2,4.554,25.548,25.052,24.908,24.613,24.024,24.802,24.277,25.578
2019/11/26 12:19:3,4.537,24.643,24.112,24.229,24.040,23.354,24.237,23.831,24.851
2019/11/26 12:20:3,4.543,21.457,22.315,21.582,21.498,20.976,21.146,22.009,22.387
2019/11/26 12:21:3,4.539,20.523,20.778,20.937,20.448,19.665,20.189,20.838,21.448
2019/11/26 12:22:3,4.550,23.522,22.827,22.956,22.344,21.804,22.786,22.306,23.692
2019/11/26 12:23:4,4.551,24.777,24.274,23.998,23.726,23.084,23.994,23.364,24.868
2019/11/26 12:24:4,4.547,25.575,25.120,24.707,24.616,23.852,24.681,24.196,25.518
2019/11/26 12:25:4,4.559,25.362,24.938,24.780,24.074,23.437,24.078,23.795,24.901
