treatment: dry
timestamp, Vin, d6_bottom, d6_top, d7_bottom, d7_top, d10_bottom, d10_top, d11_bottom, d11_top
2019/11/1 13:13:43,4.895,23.263,23.910,23.460,23.004,22.856,24.194,21.965,23.232
treatment: dry
timestamp, Vin, d6_bottom, d6_top, d7_bottom, d7_top, d10_bottom, d10_top, d11_bottom, d11_top
2019/11/1 13:13:45,4.900,23.308,23.879,23.458,22.967,22.726,24.164,21.919,23.202
treatment: dry
timestamp, Vin, d6_bottom, d6_top, d7_bottom, d7_top, d10_bottom, d10_top, d11_bottom, d11_top
2019/11/1 13:13:56,4.918,23.027,23.838,23.471,22.916,22.668,24.163,21.819,23.185
treatment: dry
timestamp, Vin, d6_bottom, d6_top, d7_bottom, d7_top, d10_bottom, d10_top, d11_bottom, d11_top
2019/11/1 13:15:17,4.897,23.601,24.068,23.854,22.955,23.082,24.272,21.822,22.871
treatment: dry
timestamp, Vin, d6_bottom, d6_top, d7_bottom, d7_top, d10_bottom, d10_top, d11_bottom, d11_top
2019/11/1 13:15:20,4.901,23.351,24.049,23.820,22.884,23.063,24.294,21.766,22.828
2019/11/1 13:15:50,4.900,23.268,23.734,23.229,22.503,22.430,23.695,21.160,22.594
treatment: dry
timestamp, Vin, d6_bottom, d6_top, d7_bottom, d7_top, d10_bottom, d10_top, d11_bottom, d11_top
2019/11/1 13:16:34,4.930,23.263,23.783,23.194,22.678,22.706,24.009,21.709,22.943
2019/11/1 13:17:5,4.929,23.042,23.576,22.976,22.411,22.662,23.795,21.595,22.687
2019/11/1 13:17:35,4.928,22.454,23.228,22.443,22.119,22.311,23.702,21.250,22.562
2019/11/1 13:18:5,4.927,22.193,23.264,22.528,22.179,22.266,23.818,21.213,22.761
2019/11/1 13:18:35,4.927,22.357,23.375,22.716,22.339,22.534,23.926,21.481,22.869
2019/11/1 13:19:5,4.927,22.666,23.420,22.820,22.447,22.618,24.020,21.606,22.924
2019/11/1 13:19:36,4.926,22.912,23.564,23.034,22.570,22.992,24.269,21.632,23.174
2019/11/1 13:20:6,4.926,22.729,23.716,23.241,22.767,22.872,24.543,21.968,23.534
2019/11/1 13:20:36,4.926,23.006,23.665,22.981,22.667,22.783,24.318,21.719,23.299
2019/11/1 13:21:6,4.926,22.007,23.151,22.376,22.042,21.867,23.786,20.970,22.530
2019/11/1 13:21:37,4.926,22.223,22.972,22.156,21.919,22.052,23.674,21.081,22.519
2019/11/1 13:22:7,4.926,21.705,22.615,21.733,21.509,21.520,23.375,20.493,22.015
2019/11/1 13:22:37,4.926,21.073,22.315,21.478,21.195,20.933,23.023,20.098,21.830
2019/11/1 13:23:7,4.926,21.300,22.120,21.398,21.076,21.059,22.737,20.154,21.624
2019/11/1 13:23:38,4.926,21.391,22.207,21.548,21.188,21.300,22.807,20.349,21.809
2019/11/1 13:24:8,4.926,21.863,22.481,21.818,21.472,21.793,23.311,20.900,22.142
2019/11/1 13:24:38,4.926,21.392,22.421,21.779,21.396,21.542,23.122,20.575,21.849
2019/11/1 13:25:8,4.928,21.767,22.387,21.631,21.250,21.543,22.991,20.489,21.770
2019/11/1 13:25:39,4.926,21.661,22.407,21.615,21.280,21.643,23.147,20.697,21.943
2019/11/1 13:26:9,4.926,21.940,22.502,21.842,21.500,21.943,23.360,21.008,22.167
2019/11/1 13:26:39,4.926,22.352,22.993,22.477,22.107,22.383,23.852,21.417,22.697
2019/11/1 13:27:9,4.926,22.334,23.311,22.770,22.456,22.725,24.236,21.745,22.885
2019/11/1 13:27:40,4.926,23.145,23.836,23.403,23.103,23.501,24.747,22.541,23.532
2019/11/1 13:28:10,4.925,23.830,24.364,23.820,23.621,23.977,25.259,23.097,24.040
2019/11/1 13:28:40,4.926,23.696,24.551,23.961,23.857,23.919,25.576,22.963,24.268
2019/11/1 13:29:10,4.926,23.703,24.597,24.003,23.829,23.912,25.359,23.009,24.227
2019/11/1 13:29:40,4.925,23.227,24.253,23.610,23.460,23.293,24.916,22.355,23.726
2019/11/1 13:30:11,4.926,23.640,24.244,23.605,23.452,23.490,24.883,22.545,23.710
2019/11/1 13:30:41,4.926,23.748,24.443,23.846,23.731,23.780,25.282,22.852,24.035
2019/11/1 13:31:11,4.925,23.635,24.584,23.938,23.841,23.746,25.277,22.791,24.102
2019/11/1 13:31:42,4.925,23.656,24.308,23.572,23.460,23.338,24.871,22.358,23.694
2019/11/1 13:32:12,4.925,22.459,23.464,22.675,22.609,22.215,24.054,21.301,22.759
2019/11/1 13:32:42,4.925,22.034,22.832,21.988,21.995,21.576,23.439,20.689,22.135
2019/11/1 13:33:12,4.925,21.500,22.456,21.535,21.583,21.144,23.125,20.154,21.817
2019/11/1 13:33:42,4.926,21.549,22.526,21.884,21.832,21.587,23.290,20.659,21.985
2019/11/1 13:34:13,4.926,21.575,22.381,21.498,21.613,21.034,23.145,20.083,21.711
2019/11/1 13:34:43,4.926,21.284,22.212,21.423,21.587,21.074,22.969,20.274,21.828
2019/11/1 13:35:13,4.925,20.899,21.894,21.144,21.266,20.777,22.874,19.895,21.706
2019/11/1 13:35:43,4.926,20.782,21.854,21.083,21.163,20.814,22.747,19.859,21.387
2019/11/1 13:36:14,4.925,21.161,21.915,20.903,21.063,20.868,22.682,19.818,21.304
