treatment: wet
timestamp, Vin, w6_bottom, w6_top, w7_bottom, w7_top, w10_bottom, w10_top, w11_bottom, w11_top
2019/10/28 10:38:20,4.785,24.176,25.421,24.025,24.345,24.294,24.291,22.951,23.540
treatment: wet
timestamp, Vin, w6_bottom, w6_top, w7_bottom, w7_top, w10_bottom, w10_top, w11_bottom, w11_top
2019/10/28 10:38:29,4.799,24.068,25.244,23.713,24.139,24.082,24.100,22.725,23.366
2019/10/28 10:38:59,4.806,24.285,25.112,23.977,24.060,24.360,24.171,22.890,23.369
2019/10/28 10:39:29,4.806,24.316,24.996,23.740,23.747,24.176,23.733,22.728,23.143
2019/10/28 10:39:59,4.807,24.288,24.900,23.920,23.913,24.259,23.641,22.876,23.290
2019/10/28 10:40:30,4.807,24.224,24.435,23.662,23.680,23.934,23.055,22.626,23.097
2019/10/28 10:41:0,4.808,24.090,24.548,23.479,23.611,23.840,23.093,22.364,23.028
2019/10/28 10:41:30,4.808,24.108,24.466,23.654,23.640,23.947,22.943,22.439,22.972
2019/10/28 10:42:0,4.808,24.034,24.273,23.673,23.587,23.951,22.836,22.572,22.926
2019/10/28 10:42:30,4.808,23.697,24.051,23.479,23.379,23.812,22.561,22.057,22.486
2019/10/28 10:43:1,4.808,23.127,23.366,23.188,22.927,23.374,22.205,21.998,22.169
2019/10/28 10:43:31,4.808,22.868,23.029,23.322,22.782,23.154,21.875,21.914,22.014
2019/10/28 10:44:1,4.808,22.975,22.989,24.874,22.803,23.154,21.928,21.988,21.953
2019/10/28 10:44:31,4.806,23.032,22.946,22.546,22.782,23.318,22.310,21.949,21.981
2019/10/28 10:45:2,4.807,23.104,22.997,22.718,22.832,23.229,22.278,22.000,22.082
2019/10/28 10:45:32,4.807,23.049,22.781,22.566,22.842,23.303,22.155,22.027,21.809
2019/10/28 10:46:2,4.806,22.946,22.653,22.385,22.656,23.321,22.142,21.931,21.906
2019/10/28 10:46:32,4.807,22.916,22.502,22.394,22.612,22.998,21.729,21.715,21.754
2019/10/28 10:47:3,4.806,22.697,22.347,22.683,22.182,22.819,21.979,21.943,21.399
2019/10/28 10:47:33,4.805,23.042,22.509,22.516,22.605,22.927,22.123,22.069,21.790
2019/10/28 10:48:3,4.804,23.707,22.853,23.096,23.035,23.414,22.820,22.602,22.263
2019/10/28 10:48:33,4.805,24.110,23.280,23.838,23.663,23.888,23.191,23.091,22.762
2019/10/28 10:49:4,4.824,24.308,23.538,23.940,24.030,24.268,23.648,23.299,23.060
2019/10/28 10:49:34,4.805,24.490,23.752,23.964,24.167,24.429,23.924,23.287,23.173
2019/10/28 10:50:4,4.804,24.606,23.868,24.191,24.366,24.653,24.130,23.453,23.364
2019/10/28 10:50:34,4.803,24.865,23.876,24.148,24.513,24.947,24.460,23.511,23.536
2019/10/28 10:51:5,4.803,24.902,23.724,24.075,24.501,25.031,24.508,23.420,23.670
2019/10/28 10:51:35,4.803,24.790,23.626,23.916,24.510,24.962,24.181,23.222,23.712
2019/10/28 10:52:5,4.803,24.478,23.146,24.148,24.234,24.599,23.554,22.878,23.346
2019/10/28 10:52:35,4.802,24.190,22.855,24.559,24.036,24.441,23.406,22.891,23.299
2019/10/28 10:53:5,4.802,23.752,22.320,23.508,23.673,24.128,22.671,22.549,22.811
2019/10/28 10:53:36,4.801,23.543,22.259,23.293,23.364,23.937,22.795,22.276,22.430
2019/10/28 10:54:6,4.802,23.728,22.246,23.735,23.456,24.193,22.976,22.701,22.633
2019/10/28 10:54:36,4.802,23.986,22.325,24.193,23.649,24.344,23.141,23.248,22.883
2019/10/28 10:55:6,4.801,24.451,22.761,24.261,23.856,24.816,23.631,23.631,23.144
2019/10/28 10:55:37,4.801,24.504,22.582,24.300,24.049,24.666,23.609,23.806,23.283
2019/10/28 10:56:7,4.800,24.833,22.699,24.511,24.292,24.719,23.891,23.980,23.558
2019/10/28 10:56:37,4.800,25.097,22.786,25.108,24.573,24.720,23.900,24.043,23.778
2019/10/28 10:57:7,4.800,25.359,22.994,25.729,24.835,24.842,24.039,24.337,24.032
2019/10/28 10:57:38,4.800,26.112,23.647,25.979,25.541,25.562,24.833,25.006,24.654
