"by15","line_PAR_east_umol_m2_s","line_PAR_west_umol_m2_s"
2019-10-23 16:00:00,64.0333333333333,59.3333333333333
2019-10-23 16:15:00,14.5,14.2
2019-10-23 16:30:00,28.3,20.4
2019-10-23 16:45:00,26.75,18.4666666666667
2019-10-23 17:00:00,5.6,4.7
2019-10-23 17:15:00,1.4,1.3
2019-10-23 17:30:00,0.2,0.1
2019-10-23 17:45:00,0.1,0.1
2019-10-23 18:00:00,0.1,0.1
2019-10-23 18:15:00,0.1,0.1
2019-10-23 18:30:00,0.1,0
2019-10-23 18:45:00,0,0
2019-10-23 19:00:00,0,0
2019-10-23 19:15:00,0,0.1
2019-10-23 19:30:00,0,0
2019-10-23 19:45:00,0,0
2019-10-23 20:00:00,0,0
2019-10-23 20:15:00,0,0
2019-10-23 20:30:00,0,0
2019-10-23 20:45:00,0,0.1
2019-10-23 21:00:00,0,0
2019-10-23 21:15:00,0,0
2019-10-23 21:30:00,0,0.1
2019-10-23 21:45:00,0,0.1
2019-10-23 22:00:00,0,0
2019-10-23 22:15:00,0,0
2019-10-23 22:30:00,0,0
2019-10-23 22:45:00,0,0
2019-10-23 23:00:00,0,0.1
2019-10-23 23:15:00,0,0
2019-10-23 23:30:00,0,0
2019-10-23 23:45:00,0,0
2019-10-24 00:00:00,0,0.1
2019-10-24 00:15:00,0,0
2019-10-24 00:30:00,0,0
2019-10-24 00:45:00,0,0.1
2019-10-24 01:00:00,0,0
2019-10-24 01:15:00,0,0
2019-10-24 01:30:00,0,0
2019-10-24 01:45:00,0,0
2019-10-24 02:00:00,0,0
2019-10-24 02:15:00,0,0.1
2019-10-24 02:30:00,0,0
2019-10-24 02:45:00,0.1,0
2019-10-24 03:00:00,0.1,0
2019-10-24 03:15:00,0.1,0.1
2019-10-24 03:30:00,0.1,0
2019-10-24 03:45:00,0.1,0
2019-10-24 04:00:00,0.1,0.1
2019-10-24 04:15:00,0.1,0
2019-10-24 04:30:00,0.1,0
2019-10-24 04:45:00,0.1,0.1
2019-10-24 05:00:00,0.1,0.1
2019-10-24 05:15:00,0.1,0
2019-10-24 05:30:00,0.1,0
2019-10-24 05:45:00,0.1,0
2019-10-24 06:00:00,0.1,0
2019-10-24 06:15:00,0.4,0.6
2019-10-24 06:30:00,5.2,5.6
2019-10-24 06:45:00,23.8,21.7
2019-10-24 07:00:00,56.2,55.5
2019-10-24 07:15:00,94.7,88.6
2019-10-24 07:30:00,133.9,127.5
2019-10-24 07:45:00,156.4,158.6
2019-10-24 08:00:00,219.4,199.9
2019-10-24 08:15:00,311.1,261.1
2019-10-24 08:30:00,392.6,304.8
2019-10-24 08:45:00,455.7,350.3
2019-10-24 09:00:00,502.7,425.6
2019-10-24 09:15:00,501.1,467.6
2019-10-24 09:30:00,559.3,482.7
2019-10-24 09:45:00,615.1,525.6
2019-10-24 10:00:00,647.9,595
2019-10-24 10:15:00,685.8,690.1
2019-10-24 10:30:00,782.7,745.3
2019-10-24 10:45:00,813.2,734.9
2019-10-24 11:00:00,813.2,763.7
2019-10-24 11:15:00,802.7,817.7
2019-10-24 11:30:00,800.4,872.7
2019-10-24 11:45:00,766.7,948.5
2019-10-24 12:00:00,726.3,1012.1
2019-10-24 12:15:00,614,960.5
2019-10-24 12:30:00,545,847.3
2019-10-24 12:45:00,592.3,754.9
2019-10-24 13:00:00,655.3,695.8
2019-10-24 13:15:00,701.2,649.4
2019-10-24 13:30:00,730.1,640
2019-10-24 13:45:00,653.9,679.1
2019-10-24 14:00:00,537.9,681.9
2019-10-24 14:15:00,477.5,651.5
2019-10-24 14:30:00,424.8,598.7
2019-10-24 14:45:00,392.6,545.9
2019-10-24 15:00:00,340.1,475.8
2019-10-24 15:15:00,274.8,370.3
2019-10-24 15:30:00,238.7,292
2019-10-24 15:45:00,194.3,264.1
2019-10-24 16:00:00,144.8,217.9
2019-10-24 16:15:00,107.9,151.4
2019-10-24 16:30:00,82.3,87.3
2019-10-24 16:45:00,48.1,49.7
2019-10-24 17:00:00,19.9,18.5
2019-10-24 17:15:00,6,5.6
