Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],Leaf Distribuition [Χ],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
SUM,11/4/2019 4:42:21 PM,,0.0,19.5,0.000,0.00,1.00,0.00,88°,40°,-105°
SUM,11/4/2019 4:57:20 PM,,0.0,1.3,0.000,0.00,1.00,0.00,91°,40°,-105°
SUM,11/4/2019 5:12:20 PM,,0.0,0.2,0.000,0.00,1.00,0.00,94°,40°,-105°
SUM,11/4/2019 5:27:20 PM,,0.0,0.1,0.000,0.00,1.00,0.00,97°,40°,-105°
SUM,11/4/2019 5:42:20 PM,,0.0,0.1,0.000,0.00,1.00,0.00,99°,40°,-105°
SUM,11/4/2019 5:57:20 PM,,0.0,0.1,0.000,0.00,1.00,0.00,102°,40°,-105°
SUM,11/4/2019 6:12:20 PM,,0.0,0.1,0.000,0.00,1.00,0.00,105°,40°,-105°
SUM,11/4/2019 6:27:20 PM,,0.0,0.1,0.000,0.00,1.00,0.00,108°,40°,-105°
SUM,11/4/2019 6:42:20 PM,,0.0,0.1,0.000,0.00,1.00,0.00,111°,40°,-105°
SUM,11/4/2019 6:57:20 PM,,0.0,0.1,0.000,0.00,1.00,0.00,114°,40°,-105°
SUM,11/4/2019 7:12:20 PM,,0.0,0.1,0.000,0.00,1.00,0.00,116°,40°,-105°
SUM,11/4/2019 7:27:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,119°,40°,-105°
SUM,11/4/2019 7:42:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,122°,40°,-105°
SUM,11/4/2019 7:57:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,125°,40°,-105°
SUM,11/4/2019 8:12:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,128°,40°,-105°
SUM,11/4/2019 8:27:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,131°,40°,-105°
SUM,11/4/2019 8:42:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,133°,40°,-105°
SUM,11/4/2019 8:57:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,136°,40°,-105°
SUM,11/4/2019 9:12:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,139°,40°,-105°
SUM,11/4/2019 9:27:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,141°,40°,-105°
SUM,11/4/2019 9:42:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,144°,40°,-105°
SUM,11/4/2019 9:57:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,146°,40°,-105°
SUM,11/4/2019 10:12:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,148°,40°,-105°
SUM,11/4/2019 10:27:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,150°,40°,-105°
SUM,11/4/2019 10:42:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,152°,40°,-105°
SUM,11/4/2019 10:57:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,153°,40°,-105°
SUM,11/4/2019 11:12:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,154°,40°,-105°
SUM,11/4/2019 11:27:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,155°,40°,-105°
SUM,11/4/2019 11:42:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,155°,40°,-105°
SUM,11/4/2019 11:57:20 PM,,0.0,0.0,0.000,0.00,1.00,0.00,155°,40°,-105°
SUM,11/5/2019 12:12:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,155°,40°,-105°
SUM,11/5/2019 12:27:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,154°,40°,-105°
SUM,11/5/2019 12:42:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,152°,40°,-105°
SUM,11/5/2019 12:57:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,151°,40°,-105°
SUM,11/5/2019 1:12:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,149°,40°,-105°
SUM,11/5/2019 1:27:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,147°,40°,-105°
SUM,11/5/2019 1:42:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,144°,40°,-105°
SUM,11/5/2019 1:57:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,142°,40°,-105°
SUM,11/5/2019 2:12:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,139°,40°,-105°
SUM,11/5/2019 2:27:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,137°,40°,-105°
SUM,11/5/2019 2:42:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,134°,40°,-105°
SUM,11/5/2019 2:57:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,131°,40°,-105°
SUM,11/5/2019 3:12:20 AM,,0.0,0.0,0.000,0.00,1.00,0.00,129°,40°,-105°
SUM,11/5/2019 3:27:20 AM,,0.0,0.1,0.000,0.00,1.00,0.00,126°,40°,-105°
SUM,11/5/2019 3:42:20 AM,,0.0,0.1,0.000,0.00,1.00,0.00,123°,40°,-105°
SUM,11/5/2019 3:57:20 AM,,0.0,0.1,0.000,0.00,1.00,0.00,120°,40°,-105°
SUM,11/5/2019 4:12:20 AM,,0.0,0.1,0.000,0.00,1.00,0.00,117°,40°,-105°
SUM,11/5/2019 4:27:20 AM,,0.0,0.1,0.000,0.00,1.00,0.00,114°,40°,-105°
SUM,11/5/2019 4:42:20 AM,,0.0,0.1,0.000,0.00,1.00,0.00,111°,40°,-105°
SUM,11/5/2019 4:57:20 AM,,0.0,0.1,0.000,0.00,1.00,0.00,109°,40°,-105°
SUM,11/5/2019 5:12:20 AM,,0.0,0.1,0.000,0.00,1.00,0.00,106°,40°,-105°
SUM,11/5/2019 5:27:20 AM,,0.0,0.1,0.000,0.00,1.00,0.00,103°,40°,-105°
SUM,11/5/2019 5:42:20 AM,,0.0,0.1,0.000,0.00,1.00,0.00,100°,40°,-105°
SUM,11/5/2019 5:57:20 AM,,0.0,0.1,0.000,0.00,1.00,0.00,97°,40°,-105°
SUM,11/5/2019 6:12:20 AM,,0.0,0.5,0.000,0.00,1.00,0.00,95°,40°,-105°
SUM,11/5/2019 6:27:20 AM,,0.0,5.4,0.000,0.00,1.00,0.00,92°,40°,-105°
SUM,11/5/2019 6:42:20 AM,,0.0,23.5,0.000,0.00,1.00,0.00,89°,40°,-105°
SUM,11/5/2019 6:57:20 AM,,0.0,56.1,0.000,0.00,1.00,0.00,86°,40°,-105°
SUM,11/5/2019 7:12:20 AM,,0.0,105.8,0.000,0.00,1.00,0.00,84°,40°,-105°
SUM,11/5/2019 7:27:20 AM,,0.0,167.8,0.000,0.00,1.00,0.00,81°,40°,-105°
SUM,11/5/2019 7:42:20 AM,,0.0,201.7,0.000,0.00,1.00,0.00,79°,40°,-105°
SUM,11/5/2019 7:57:20 AM,,0.0,264.1,0.000,0.00,1.00,0.00,76°,40°,-105°
SUM,11/5/2019 8:12:20 AM,,0.0,348.1,0.000,0.00,1.00,0.00,74°,40°,-105°
SUM,11/5/2019 8:27:20 AM,,0.0,410.3,0.000,0.00,1.00,0.00,72°,40°,-105°
SUM,11/5/2019 8:42:20 AM,,0.0,417.0,0.000,0.00,1.00,0.00,70°,40°,-105°
SUM,11/5/2019 8:57:20 AM,,0.0,468.4,0.000,0.00,1.00,0.00,68°,40°,-105°
