Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],Leaf Distribuition [Χ],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
SUM,12/5/2019 3:21:14 PM,,0.0,26.0,0.000,0.00,0.96,0.00,80°,40°,-104°
SUM,12/5/2019 3:36:14 PM,,0.0,12.2,0.000,0.00,0.96,0.00,82°,40°,-104°
SUM,12/5/2019 3:51:14 PM,,0.0,11.7,0.000,0.00,0.96,0.00,84°,40°,-104°
SUM,12/5/2019 4:06:14 PM,,0.0,9.3,0.000,0.00,0.96,0.00,87°,40°,-104°
SUM,12/5/2019 4:21:14 PM,,0.0,3.2,0.000,0.00,0.96,0.00,89°,40°,-104°
SUM,12/5/2019 4:36:14 PM,,0.0,0.7,0.000,0.00,0.96,0.00,92°,40°,-104°
SUM,12/5/2019 4:51:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,94°,40°,-104°
SUM,12/5/2019 5:06:14 PM,,0.0,0.1,0.000,0.00,0.96,0.00,97°,40°,-104°
SUM,12/5/2019 5:21:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,99°,40°,-104°
SUM,12/5/2019 5:36:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,102°,40°,-104°
SUM,12/5/2019 5:51:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,105°,40°,-104°
SUM,12/5/2019 6:06:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,108°,40°,-104°
SUM,12/5/2019 6:21:14 PM,,0.0,0.1,0.000,0.00,0.96,0.00,110°,40°,-104°
SUM,12/5/2019 6:36:14 PM,,0.0,0.1,0.000,0.00,0.96,0.00,113°,40°,-104°
SUM,12/5/2019 6:51:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,116°,40°,-104°
SUM,12/5/2019 7:06:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,119°,40°,-104°
SUM,12/5/2019 7:21:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,122°,40°,-104°
SUM,12/5/2019 7:36:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,125°,40°,-104°
SUM,12/5/2019 7:51:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,128°,40°,-104°
SUM,12/5/2019 8:06:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,130°,40°,-104°
SUM,12/5/2019 8:21:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,133°,40°,-104°
SUM,12/5/2019 8:36:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,136°,40°,-104°
SUM,12/5/2019 8:51:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,139°,40°,-104°
SUM,12/5/2019 9:06:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,142°,40°,-104°
SUM,12/5/2019 9:21:14 PM,,0.0,0.1,0.000,0.00,0.96,0.00,144°,40°,-104°
SUM,12/5/2019 9:36:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,147°,40°,-104°
SUM,12/5/2019 9:51:14 PM,,0.0,0.1,0.000,0.00,0.96,0.00,150°,40°,-104°
SUM,12/5/2019 10:06:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,152°,40°,-104°
SUM,12/5/2019 10:21:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,155°,40°,-104°
SUM,12/5/2019 10:36:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,157°,40°,-104°
SUM,12/5/2019 10:51:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,159°,40°,-104°
SUM,12/5/2019 11:06:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,160°,40°,-104°
SUM,12/5/2019 11:21:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,161°,40°,-104°
SUM,12/5/2019 11:36:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,162°,40°,-104°
SUM,12/5/2019 11:51:14 PM,,0.0,0.0,0.000,0.00,0.96,0.00,162°,40°,-104°
SUM,12/6/2019 12:06:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,162°,40°,-104°
SUM,12/6/2019 12:21:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,161°,40°,-104°
SUM,12/6/2019 12:36:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,160°,40°,-104°
SUM,12/6/2019 12:51:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,158°,40°,-104°
SUM,12/6/2019 1:06:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,156°,40°,-104°
SUM,12/6/2019 1:21:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,153°,40°,-104°
SUM,12/6/2019 1:36:14 AM,,0.0,0.1,0.000,0.00,0.96,0.00,151°,40°,-104°
SUM,12/6/2019 1:51:14 AM,,0.0,0.1,0.000,0.00,0.96,0.00,148°,40°,-104°
SUM,12/6/2019 2:06:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,146°,40°,-104°
SUM,12/6/2019 2:21:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,143°,40°,-104°
SUM,12/6/2019 2:36:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,140°,40°,-104°
SUM,12/6/2019 2:51:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,137°,40°,-104°
SUM,12/6/2019 3:06:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,135°,40°,-104°
SUM,12/6/2019 3:21:14 AM,,0.0,0.1,0.000,0.00,0.96,0.00,132°,40°,-104°
SUM,12/6/2019 3:36:14 AM,,0.0,0.1,0.000,0.00,0.96,0.00,129°,40°,-104°
SUM,12/6/2019 3:51:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,126°,40°,-104°
SUM,12/6/2019 4:06:14 AM,,0.0,0.1,0.000,0.00,0.96,0.00,123°,40°,-104°
SUM,12/6/2019 4:21:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,120°,40°,-104°
SUM,12/6/2019 4:36:14 AM,,0.0,0.1,0.000,0.00,0.96,0.00,117°,40°,-104°
SUM,12/6/2019 4:51:14 AM,,0.0,0.1,0.000,0.00,0.96,0.00,115°,40°,-104°
SUM,12/6/2019 5:06:14 AM,,0.0,0.1,0.000,0.00,0.96,0.00,112°,40°,-104°
SUM,12/6/2019 5:21:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,109°,40°,-104°
SUM,12/6/2019 5:36:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,106°,40°,-104°
SUM,12/6/2019 5:51:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,103°,40°,-104°
SUM,12/6/2019 6:06:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,101°,40°,-104°
SUM,12/6/2019 6:21:14 AM,,0.0,0.0,0.000,0.00,0.96,0.00,98°,40°,-104°
SUM,12/6/2019 6:36:14 AM,,0.0,0.1,0.000,0.00,0.96,0.00,95°,40°,-104°
SUM,12/6/2019 6:51:14 AM,,0.0,1.5,0.000,0.00,0.96,0.00,93°,40°,-104°
SUM,12/6/2019 7:06:14 AM,,0.0,8.4,0.000,0.00,0.96,0.00,90°,40°,-104°
SUM,12/6/2019 7:21:14 AM,,0.0,31.7,0.000,0.00,0.96,0.00,88°,40°,-104°
SUM,12/6/2019 7:36:14 AM,,0.0,70.5,0.000,0.00,0.96,0.00,85°,40°,-104°
SUM,12/6/2019 7:51:14 AM,,0.0,64.3,0.000,0.00,0.96,0.00,83°,40°,-104°
SUM,12/6/2019 8:06:14 AM,,0.0,65.8,0.000,0.00,0.96,0.00,81°,40°,-104°
SUM,12/6/2019 8:21:14 AM,,0.0,161.4,0.000,0.00,0.96,0.00,79°,40°,-104°
SUM,12/6/2019 8:36:14 AM,,0.0,213.8,0.000,0.00,0.96,0.00,77°,40°,-104°
SUM,12/6/2019 8:51:14 AM,,0.0,277.2,0.000,0.00,0.96,0.00,75°,40°,-104°
SUM,12/6/2019 9:06:14 AM,,0.0,304.6,0.000,0.00,0.96,0.00,73°,40°,-104°
SUM,12/6/2019 9:21:14 AM,,0.0,277.6,0.000,0.00,0.96,0.00,71°,40°,-104°
SUM,12/6/2019 9:36:14 AM,,0.0,276.9,0.000,0.00,0.96,0.00,69°,40°,-104°
SUM,12/6/2019 9:51:14 AM,,0.0,435.0,0.000,0.00,0.96,0.00,68°,40°,-104°
SUM,12/6/2019 10:06:14 AM,,0.0,534.1,0.000,0.00,0.96,0.00,67°,40°,-104°
SUM,12/6/2019 10:21:14 AM,,0.0,577.4,0.000,0.00,0.96,0.00,66°,40°,-104°
SUM,12/6/2019 10:36:14 AM,,0.0,601.3,0.000,0.00,0.96,0.00,65°,40°,-104°
SUM,12/6/2019 10:51:14 AM,,0.0,638.3,0.000,0.00,0.96,0.00,64°,40°,-104°
SUM,12/6/2019 11:06:14 AM,,0.0,676.6,0.000,0.00,0.96,0.00,63°,40°,-104°
SUM,12/6/2019 11:21:14 AM,,0.0,697.7,0.000,0.00,0.96,0.00,63°,40°,-104°
SUM,12/6/2019 11:36:14 AM,,0.0,754.5,0.000,0.00,0.96,0.00,62°,40°,-104°
SUM,12/6/2019 11:51:14 AM,,0.0,768.4,0.000,0.00,0.96,0.00,62°,40°,-104°
SUM,12/6/2019 12:06:14 PM,,0.0,756.7,0.000,0.00,0.96,0.00,63°,40°,-104°
SUM,12/6/2019 12:21:14 PM,,0.0,711.2,0.000,0.00,0.96,0.00,63°,40°,-104°
SUM,12/6/2019 12:36:14 PM,,0.0,671.4,0.000,0.00,0.96,0.00,63°,40°,-104°
SUM,12/6/2019 12:51:14 PM,,0.0,637.5,0.000,0.00,0.96,0.00,64°,40°,-104°
SUM,12/6/2019 1:06:14 PM,,0.0,604.7,0.000,0.00,0.96,0.00,65°,40°,-104°
SUM,12/6/2019 1:21:14 PM,,0.0,568.1,0.000,0.00,0.96,0.00,66°,40°,-104°
SUM,12/6/2019 1:36:14 PM,,0.0,544.8,0.000,0.00,0.96,0.00,67°,40°,-104°
SUM,12/6/2019 1:51:14 PM,,0.0,519.1,0.000,0.00,0.96,0.00,69°,40°,-104°
SUM,12/6/2019 2:06:14 PM,,0.0,459.7,0.000,0.00,0.96,0.00,70°,40°,-104°
SUM,12/6/2019 2:21:14 PM,,0.0,382.5,0.000,0.00,0.96,0.00,72°,40°,-104°
SUM,12/6/2019 2:36:14 PM,,0.0,323.9,0.000,0.00,0.96,0.00,74°,40°,-104°
SUM,12/6/2019 2:51:14 PM,,0.0,264.4,0.000,0.00,0.96,0.00,76°,40°,-104°
SUM,12/6/2019 3:06:14 PM,,0.0,223.0,0.000,0.00,0.96,0.00,78°,40°,-104°
SUM,12/6/2019 3:21:14 PM,,0.0,182.2,0.000,0.00,0.96,0.00,80°,40°,-104°
SUM,12/6/2019 3:36:14 PM,,0.0,130.3,0.000,0.00,0.96,0.00,82°,40°,-104°
