by15,psi_MPa,plant_id,treatment,side_of_greenhouse,diameter_at_base,percent_dead,data_ok,notes
2019-11-04 13:30:00,1.6,d5,full_drought,north,21.18,,yes,"today was the first pressure bomb readings, and the treatments were switched on this evening"
2019-11-04 13:30:00,0.91,w8,well_watered,north,21.64,,yes,"today was the first pressure bomb readings, and the treatments were switched on this evening"
2019-11-04 13:30:00,1.42,d16,full_drought,north,21.88,,yes,"today was the first pressure bomb readings, and the treatments were switched on this evening"
2019-11-04 13:30:00,1.45,m12,moderate_drought,north,21.35,,yes,"today was the first pressure bomb readings, and the treatments were switched on this evening"
2019-11-04 13:30:00,0.87,w4,well_watered,north,22.65,,yes,"today was the first pressure bomb readings, and the treatments were switched on this evening"
2019-11-04 13:30:00,1.37,m4,moderate_drought,north,19.6,,yes,"today was the first pressure bomb readings, and the treatments were switched on this evening"
2019-11-04 13:30:00,1.39,m16,moderate_drought,north,21.13,,yes,"today was the first pressure bomb readings, and the treatments were switched on this evening"
2019-11-04 13:30:00,1.52,d15,full_drought,north,20.55,,yes,"today was the first pressure bomb readings, and the treatments were switched on this evening"
2019-11-04 13:30:00,0.74,w16,well_watered,north,21.34,,yes,"today was the first pressure bomb readings, and the treatments were switched on this evening"
2019-11-13 13:45:00,1.14,d5,well_watered,south,21.24,,yes,
2019-11-13 13:45:00,1.16,d13,well_watered,south,20.1,,yes,
2019-11-13 13:45:00,1.73,m5,moderate_drought,south,20.67,,yes,
2019-11-13 13:45:00,1.28,d14,well_watered,south,19.16,,yes,
2019-11-13 13:45:00,1.86,w2,full_drought,south,21.44,,yes,
2019-11-13 13:45:00,1.85,w1,full_drought,south,22.55,,yes,
2019-11-13 13:45:00,1.91,m2,moderate_drought,south,21.61,,yes,
2019-11-13 13:45:00,1.87,m13,moderate_drought,south,23.04,,yes,
2019-11-13 13:45:00,1.83,w13,full_drought,south,22.22,,yes,
2019-11-15 14:00:00,1.48,m20,moderate_drought,north and south,NA,,yes,THIS WAS ORIGINALLY ENTERED AS D-20 in logbook but I’m pretty sure it’s M-20; destructive harvest plants; this leaf collected after initial set because I couldn’t get good read on 1st leaf. Used Troy’s pressure bomb.
2019-11-15 13:30:00,1.67,w18,full_drought,north and south,NA,,yes,destructive harvest plants; Used Troy’s pressure bomb.
2019-11-15 14:45:00,1.3,d20,well_watered,north and south,NA,,yes,IS THIS REALLY M20? destructive harvest plants; this leaf collected at 14:45. 
2019-11-15 13:30:00,1.6,w21,full_drought,north and south,NA,,yes,destructive harvest plants; Used Troy’s pressure bomb.
2019-11-15 13:30:00,1.46,m17,moderate_drought,north and south,NA,,yes,destructive harvest plants; Used Troy’s pressure bomb.
2019-11-15 13:30:00,1.25,d18,well_watered,north and south,NA,,yes,destructive harvest plants; Used Troy’s pressure bomb.
2019-11-15 13:30:00,1.16,d21,well_watered,north and south,NA,,yes,destructive harvest plants; Used Troy’s pressure bomb.
