data_ok,datetime,person,plant,current_treatment,psi_mPa,side_of_greenhouse,diameter_at_base_mm,percent_dead,notes
yes,11/04/2019 13:30:00,sean,d5,dry,1.6,north,21.18,,"today was the first pressure bomb readings, and the treatments were switched on this evening"
yes,11/04/2019 13:30:00,sean,w8,wet,0.91,north,21.64,,"today was the first pressure bomb readings, and the treatments were switched on this evening"
yes,11/04/2019 13:30:00,sean,d16,dry,1.42,north,21.88,,"today was the first pressure bomb readings, and the treatments were switched on this evening"
yes,11/04/2019 13:30:00,sean,m12,moderate,1.45,north,21.35,,"today was the first pressure bomb readings, and the treatments were switched on this evening"
yes,11/04/2019 13:30:00,sean,w4,wet,0.87,north,22.65,,"today was the first pressure bomb readings, and the treatments were switched on this evening"
yes,11/04/2019 13:30:00,sean,m4,moderate,1.37,north,19.6,,"today was the first pressure bomb readings, and the treatments were switched on this evening"
yes,11/04/2019 13:30:00,sean,m16,moderate,1.39,north,21.13,,"today was the first pressure bomb readings, and the treatments were switched on this evening"
yes,11/04/2019 13:30:00,sean,d15,dry,1.52,north,20.55,,"today was the first pressure bomb readings, and the treatments were switched on this evening"
yes,11/04/2019 13:30:00,sean,w16,wet,0.74,north,21.34,,"today was the first pressure bomb readings, and the treatments were switched on this evening"
yes,11/13/2019 13:40:00,clay,d5,wet,1.14,south,21.24,,
yes,11/13/2019 13:40:00,clay,d13,wet,1.16,south,20.1,,
yes,11/13/2019 13:40:00,clay,m5,moderate,1.73,south,20.67,,
yes,11/13/2019 13:40:00,clay,d14,wet,1.28,south,19.16,,
yes,11/13/2019 13:40:00,clay,w2,dry,1.86,south,21.44,,
yes,11/13/2019 13:40:00,clay,w1,dry,1.85,south,22.55,,
yes,11/13/2019 13:40:00,clay,m2,moderate,1.91,south,21.61,,
yes,11/13/2019 13:40:00,clay,m13,moderate,1.87,south,23.04,,
yes,11/13/2019 13:40:00,clay,w13,dry,1.83,south,22.22,,
yes,11/15/2019 14:00:00,clay,d20,wet,1.48,north and south,,,IS THIS REALLY M20?; destructive harvest plants; this leaf collected after initial set because I couldn’t get good read on 1st leaf. Used Troy’s pressure bomb.
