Serial Number:,PSY1I70E
APP Serial #:,03000717
Head Serial #:,2907
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,60,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
16/05/2019,10:50:00,25.62,-0.476,22.569,-5.64,1.00,-3.80,-0.727,-0.06,8.175,4.19,32.50 ,present ,15.28 ,45.00 ,
16/05/2019,11:00:00,25.32,-0.324,22.154,-5.56,1.00,-3.80,-0.579,-0.04,8.187,4.19,30.90 ,present ,15.31 ,44.40 ,
16/05/2019,11:10:00,25.20,-0.319,21.994,-5.53,1.00,-3.80,-0.477,-0.04,8.191,4.19,30.20 ,present ,15.27 ,44.40 ,
16/05/2019,11:20:00,25.13,-0.477,21.822,-5.52,1.00,-3.80,-0.589,-0.06,8.194,4.19,29.80 ,present ,15.28 ,44.70 ,
16/05/2019,11:30:00,25.01,-0.509,21.642,-5.49,1.00,-3.80,-0.552,-0.06,8.198,4.19,29.60 ,present ,15.27 ,44.40 ,
16/05/2019,11:40:00,24.89,-0.353,21.550,-5.47,1.00,-3.80,-0.487,-0.04,8.205,4.19,29.40 ,present ,15.27 ,44.40 ,
16/05/2019,11:50:00,24.67,-0.326,21.377,-5.45,1.00,-3.80,-0.433,-0.04,8.212,4.19,29.20 ,present ,15.27 ,44.40 ,
16/05/2019,12:00:00,24.55,-0.376,21.291,-5.45,1.00,-3.80,-0.522,-0.05,8.215,4.19,29.00 ,present ,15.27 ,44.40 ,
16/05/2019,12:10:00,24.30,-0.373,21.064,-5.43,1.00,-3.80,-0.500,-0.05,8.222,4.19,29.10 ,present ,15.27 ,44.40 ,
16/05/2019,12:20:00,24.16,-0.344,21.036,-5.44,1.00,-3.80,-0.478,-0.04,8.229,4.19,28.80 ,present ,15.27 ,44.40 ,
16/05/2019,12:30:00,24.15,-0.470,21.036,-5.46,1.00,-3.80,-0.379,-0.06,8.229,4.19,28.70 ,present ,15.27 ,44.40 ,
16/05/2019,12:40:00,24.15,-0.210,21.085,-5.44,1.00,-3.80,-0.449,-0.02,8.229,4.19,28.80 ,present ,15.27 ,44.40 ,
16/05/2019,12:50:00,24.11,-0.486,21.021,-5.46,1.00,-3.80,-0.472,-0.06,8.229,4.19,28.70 ,present ,15.28 ,44.70 ,
16/05/2019,13:00:00,24.08,-0.299,20.990,-5.44,1.00,-3.80,-0.410,-0.04,8.233,4.19,28.70 ,present ,15.27 ,44.40 ,
16/05/2019,13:10:00,24.06,-0.390,20.954,-5.44,1.00,-3.80,-0.494,-0.05,8.233,4.19,28.50 ,present ,15.27 ,44.40 ,
16/05/2019,13:20:00,24.10,-0.340,20.985,-5.44,1.00,-3.80,-0.449,-0.04,8.229,4.19,29.00 ,present ,15.28 ,44.70 ,
Serial Number:,PSY1I70E
APP Serial #:,03000717
Head Serial #:,2907
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,60,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
30/07/2019,12:40:00,23.57,-0.259,0.000,0.00,1.00,-3.80,-0.196,-0.03,8.251,4.13,37.50 ,present ,15.28 ,208.20 ,
30/07/2019,12:50:00,24.22,-0.171,0.000,0.00,1.00,-3.80,-0.397,-0.02,8.226,4.16,41.90 ,present ,15.26 ,206.70 ,
30/07/2019,13:00:00,24.59,-0.085,0.000,0.00,1.00,-3.80,-0.577,-0.01,8.215,4.19,43.00 ,present ,15.26 ,165.60 ,
30/07/2019,13:10:00,24.76,-0.035,0.000,0.00,1.00,-3.80,-0.661,0.00,8.208,4.19,36.70 ,present ,15.30 ,66.30 ,
30/07/2019,13:20:00,24.92,-0.171,0.000,0.00,1.00,-3.80,-0.575,-0.02,8.201,4.18,31.90 ,not present ,0.00 ,0.00 ,
30/07/2019,13:30:00,25.22,-0.249,0.000,0.00,1.00,-3.80,-0.451,-0.03,8.191,4.17,29.20 ,not present ,0.00 ,0.00 ,
30/07/2019,13:40:00,25.33,-0.309,0.000,0.00,1.00,-3.80,-0.380,-0.04,8.187,4.17,27.90 ,not present ,0.00 ,0.00 ,
30/07/2019,13:50:00,25.33,-0.193,0.000,0.00,1.00,-3.80,-0.456,-0.02,8.187,4.16,27.20 ,not present ,0.00 ,0.00 ,
30/07/2019,14:00:00,25.26,-0.358,0.000,0.00,1.00,-3.80,-0.265,-0.04,8.191,4.15,26.80 ,not present ,0.00 ,0.00 ,
30/07/2019,14:10:00,25.17,-0.376,0.000,0.00,1.00,-3.80,-0.345,-0.05,8.194,4.15,26.50 ,not present ,0.00 ,0.00 ,
30/07/2019,14:20:00,25.07,-0.369,0.000,0.00,1.00,-3.80,-0.382,-0.04,8.198,4.14,26.20 ,not present ,0.00 ,0.00 ,
30/07/2019,14:30:00,24.78,-0.406,0.000,0.00,1.00,-3.80,-0.441,-0.05,8.208,4.14,25.80 ,not present ,0.00 ,0.00 ,
30/07/2019,14:40:00,24.41,-0.472,0.000,0.00,1.00,-3.80,-0.524,-0.06,8.219,4.13,25.40 ,not present ,0.00 ,0.00 ,
30/07/2019,14:50:00,24.09,-0.421,0.000,0.00,1.00,-3.80,-0.524,-0.05,8.233,4.13,24.90 ,not present ,0.00 ,0.00 ,
30/07/2019,15:00:00,23.80,-0.415,0.000,0.00,1.00,-3.80,-0.364,-0.05,8.240,4.12,24.60 ,not present ,0.00 ,0.00 ,
30/07/2019,15:10:00,23.75,-0.242,0.000,0.00,1.00,-3.80,-0.269,-0.03,8.244,4.12,24.50 ,not present ,0.00 ,0.00 ,
30/07/2019,15:20:00,23.86,-0.273,0.000,0.00,1.00,-3.80,-0.228,-0.03,8.240,4.11,24.60 ,not present ,0.00 ,0.00 ,
30/07/2019,15:30:00,23.95,-0.268,0.000,0.00,1.00,-3.80,-0.265,-0.03,8.237,4.11,24.60 ,not present ,0.00 ,0.00 ,
30/07/2019,15:40:00,24.05,-0.486,0.000,0.00,1.00,-3.80,-0.189,-0.06,8.233,4.10,24.70 ,not present ,0.00 ,0.00 ,
30/07/2019,15:50:00,24.15,-0.334,0.000,0.00,1.00,-3.80,-0.224,-0.04,8.229,4.10,24.70 ,not present ,0.00 ,0.00 ,
30/07/2019,16:00:00,24.23,-0.346,0.000,0.00,1.00,-3.80,-0.232,-0.04,8.226,4.09,24.80 ,not present ,0.00 ,0.00 ,
30/07/2019,16:10:00,24.29,-0.228,0.000,0.00,1.00,-3.80,-0.288,-0.03,8.226,4.09,25.00 ,not present ,0.00 ,0.00 ,
30/07/2019,16:20:00,24.35,-0.336,0.000,0.00,1.00,-3.80,-0.282,-0.04,8.222,4.08,24.90 ,not present ,0.00 ,0.00 ,
30/07/2019,16:30:00,24.39,-0.359,0.000,0.00,1.00,-3.80,-0.326,-0.04,8.222,4.08,25.20 ,not present ,0.00 ,0.00 ,
30/07/2019,16:40:00,24.42,-0.387,0.000,0.00,1.00,-3.80,-0.389,-0.05,8.219,4.08,25.00 ,not present ,0.00 ,0.00 ,
30/07/2019,16:50:00,24.43,-0.318,0.000,0.00,1.00,-3.80,-0.300,-0.04,8.219,4.07,25.30 ,not present ,0.00 ,0.00 ,
30/07/2019,17:00:00,24.44,-0.243,0.000,0.00,1.00,-3.80,-0.221,-0.03,8.219,4.07,25.20 ,not present ,0.00 ,0.00 ,
30/07/2019,17:10:00,24.44,-0.376,0.000,0.00,1.00,-3.80,-0.307,-0.05,8.219,4.06,25.30 ,not present ,0.00 ,0.00 ,
30/07/2019,17:20:00,24.44,-0.519,0.000,0.00,1.00,-3.80,-0.440,-0.07,8.219,4.06,25.40 ,not present ,0.00 ,0.00 ,
30/07/2019,17:30:00,24.44,-0.415,0.000,0.00,1.00,-3.80,-0.347,-0.05,8.219,4.06,25.20 ,not present ,0.00 ,0.00 ,
