Serial Number:,PSY1I70E
APP Serial #:,03000717
Head Serial #:,2907
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,(#4) 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,60,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
04/11/2019,15:15:00,27.62,-1.287,0.000,0.00,1.04,-3.80,-0.985,-0.17,8.107,4.17,36.70 ,present ,15.31 ,48.90 ,
04/11/2019,15:30:00,25.94,-2.543,0.011,-0.06,1.04,-3.80,-0.775,-0.34,8.166,4.17,33.70 ,present ,15.31 ,48.60 ,
04/11/2019,15:45:00,24.96,-0.481,0.000,0.00,1.04,-3.80,-0.789,-0.06,8.201,4.17,32.20 ,present ,15.31 ,48.90 ,
04/11/2019,16:00:00,25.07,-0.574,0.000,0.00,1.04,-3.80,-0.611,-0.07,8.198,4.17,31.00 ,present ,15.31 ,48.60 ,
04/11/2019,16:15:00,25.40,-0.561,0.000,0.00,1.04,-3.80,-0.598,-0.07,8.184,4.17,30.70 ,present ,15.31 ,48.60 ,
04/11/2019,16:30:00,25.51,-0.502,0.000,0.00,1.04,-3.80,-0.548,-0.06,8.180,4.17,30.70 ,present ,15.31 ,48.60 ,
04/11/2019,16:45:00,24.81,-0.125,0.000,0.00,1.04,-3.80,-0.552,-0.01,8.205,4.17,30.40 ,present ,15.31 ,48.60 ,
04/11/2019,17:00:00,24.07,0.135,0.000,0.00,1.04,-3.80,-0.281,0.01,8.233,4.17,29.90 ,present ,15.31 ,48.60 ,
04/11/2019,17:15:00,23.36,-0.086,0.000,0.00,1.04,-3.80,-0.381,-0.01,8.258,4.17,29.50 ,present ,15.30 ,48.30 ,
04/11/2019,17:30:00,22.80,-0.146,0.000,0.00,1.04,-3.80,-0.441,-0.01,8.276,4.17,29.00 ,present ,15.31 ,48.60 ,
04/11/2019,17:45:00,22.39,-0.297,0.000,0.00,1.04,-3.80,-0.446,-0.04,8.294,4.17,28.50 ,present ,15.31 ,48.60 ,
04/11/2019,18:00:00,21.74,0.000,0.000,0.00,1.04,-3.80,-0.347,0.00,8.315,4.17,27.40 ,present ,15.30 ,48.30 ,
04/11/2019,18:15:00,21.44,-0.459,0.000,0.00,1.04,-3.80,-0.744,-0.06,8.326,4.17,26.80 ,present ,15.30 ,48.30 ,
04/11/2019,18:30:00,21.26,0.463,0.000,0.00,1.04,-3.80,-0.126,0.06,8.333,4.17,26.40 ,present ,15.30 ,48.00 ,
04/11/2019,18:45:00,21.18,0.616,0.000,0.00,1.04,-3.80,0.107,0.08,8.337,4.17,26.00 ,present ,15.30 ,48.30 ,
04/11/2019,19:00:00,21.20,-0.592,0.000,0.00,1.04,-3.80,-0.305,-0.08,8.333,4.17,25.90 ,present ,15.30 ,48.30 ,
04/11/2019,19:15:00,21.10,0.915,0.000,0.00,1.04,-3.80,0.224,0.12,8.337,4.17,25.80 ,present ,15.27 ,48.30 ,
04/11/2019,19:30:00,21.16,0.831,0.000,0.00,1.04,-3.80,0.312,0.11,8.337,4.17,25.70 ,present ,15.30 ,48.00 ,
04/11/2019,19:45:00,21.16,-0.442,0.000,0.00,1.04,-3.80,-0.046,-0.06,8.337,4.17,25.30 ,present ,15.27 ,48.00 ,
04/11/2019,20:00:00,21.10,-3.483,0.002,-0.20,1.04,-3.80,-0.162,-0.47,8.337,4.17,25.30 ,present ,15.27 ,48.30 ,
04/11/2019,20:15:00,21.23,-3.616,-0.148,-0.17,1.04,-3.80,-0.082,-0.49,8.333,4.17,25.20 ,present ,15.27 ,48.30 ,
04/11/2019,20:30:00,20.83,-3.248,0.058,-0.18,1.04,-3.80,-0.322,-0.44,8.348,4.17,25.30 ,present ,15.27 ,48.00 ,
04/11/2019,20:45:00,19.98,-0.179,0.000,0.00,1.04,-3.80,0.476,-0.02,8.381,4.17,24.70 ,present ,15.27 ,48.30 ,
04/11/2019,21:00:00,20.47,-1.388,0.000,0.00,1.04,-3.80,0.070,-0.19,8.362,4.17,24.60 ,present ,15.27 ,48.30 ,
04/11/2019,21:15:00,20.45,-2.589,0.027,-0.08,1.04,-3.80,-0.125,-0.35,8.362,4.17,24.90 ,present ,15.27 ,48.30 ,
04/11/2019,21:30:00,19.49,-2.845,-0.016,-0.11,1.04,-3.80,-0.110,-0.39,8.399,4.17,24.70 ,present ,15.27 ,48.00 ,
04/11/2019,21:45:00,18.47,-2.060,-0.031,0.00,1.04,-3.80,0.004,-0.28,8.436,4.17,24.30 ,present ,15.27 ,48.30 ,
