Serial Number:,PSY1I70F
APP Serial #:,030006F3
Head Serial #:,2906
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,#2 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,60,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
04/11/2019,15:00:00,27.21,0.521,11.373,-2.42,0.71,-4.01,0.010,0.06,8.121,4.16,35.20 ,present ,20.03 ,35.70 ,
04/11/2019,15:15:00,26.48,-0.002,10.981,-2.45,0.71,-4.01,-0.138,0.00,8.148,4.16,33.70 ,present ,20.02 ,35.40 ,
04/11/2019,15:30:00,25.32,-0.164,10.394,-2.41,0.71,-4.01,-0.173,-0.02,8.187,4.16,32.09 ,present ,20.02 ,35.40 ,
04/11/2019,15:45:00,24.32,-0.042,10.040,-2.37,0.71,-4.01,-0.218,0.00,8.222,4.16,31.00 ,present ,20.02 ,35.40 ,
04/11/2019,16:00:00,24.35,0.420,9.968,-2.29,0.71,-4.01,0.020,0.05,8.222,4.16,30.00 ,present ,20.02 ,35.09 ,
04/11/2019,16:15:00,24.87,-0.003,9.992,-2.32,0.71,-4.01,-0.108,0.00,8.205,4.16,29.70 ,present ,20.02 ,35.40 ,
04/11/2019,16:30:00,25.06,-0.138,10.005,-2.33,0.71,-4.01,-0.062,-0.01,8.198,4.16,29.70 ,present ,20.02 ,35.09 ,
04/11/2019,16:45:00,24.66,-0.167,9.763,-2.30,0.71,-4.01,-0.060,-0.02,8.212,4.16,29.40 ,present ,20.02 ,35.40 ,
04/11/2019,17:00:00,24.04,0.076,9.488,-2.24,0.71,-4.01,0.056,0.01,8.233,4.16,29.20 ,present ,20.02 ,35.09 ,
04/11/2019,17:15:00,23.36,-0.182,9.161,-2.23,0.71,-4.01,-0.220,-0.02,8.258,4.16,28.80 ,present ,20.02 ,35.09 ,
04/11/2019,17:30:00,22.91,-0.028,8.894,-2.17,0.71,-4.01,-0.068,0.00,8.272,4.16,28.40 ,present ,20.02 ,35.09 ,
04/11/2019,17:45:00,22.46,0.093,8.686,-2.13,0.71,-4.01,0.072,0.01,8.290,4.16,27.90 ,present ,20.02 ,35.09 ,
04/11/2019,18:00:00,21.67,0.294,8.350,-2.07,0.71,-4.01,0.224,0.04,8.319,4.16,27.20 ,present ,20.02 ,35.09 ,
04/11/2019,18:15:00,21.30,-0.072,8.079,-2.07,0.71,-4.01,-0.028,0.00,8.330,4.16,26.50 ,present ,20.02 ,35.09 ,
04/11/2019,18:30:00,21.13,0.125,8.013,-2.03,0.71,-4.01,0.018,0.01,8.337,4.16,26.00 ,present ,20.02 ,35.09 ,
04/11/2019,18:45:00,21.05,0.882,7.994,-1.93,0.71,-4.01,0.297,0.12,8.341,4.16,25.80 ,present ,20.02 ,34.80 ,
04/11/2019,19:00:00,21.07,0.719,7.905,-1.92,0.71,-4.01,0.271,0.09,8.341,4.16,25.60 ,present ,19.98 ,34.80 ,
04/11/2019,19:15:00,20.92,0.299,7.865,-1.98,0.71,-4.01,0.173,0.04,8.344,4.16,25.50 ,present ,20.02 ,35.09 ,
04/11/2019,19:30:00,21.03,1.186,7.890,-1.86,0.71,-4.01,0.810,0.16,8.341,4.16,25.30 ,present ,19.99 ,35.09 ,
04/11/2019,19:45:00,21.30,1.010,7.729,-1.82,0.71,-4.01,0.706,0.13,8.330,4.16,25.10 ,present ,19.99 ,35.09 ,
04/11/2019,20:00:00,21.34,1.057,7.648,-1.79,0.71,-4.01,0.597,0.14,8.330,4.16,25.00 ,present ,19.99 ,35.09 ,
04/11/2019,20:15:00,21.55,1.002,7.652,-1.79,0.71,-4.01,0.539,0.13,8.323,4.16,24.90 ,present ,19.98 ,34.80 ,
04/11/2019,20:30:00,21.23,0.053,7.540,-1.90,0.71,-4.01,-0.018,0.00,8.333,4.16,24.80 ,present ,19.98 ,34.80 ,
04/11/2019,20:45:00,20.23,0.739,7.244,-1.79,0.71,-4.01,0.466,0.10,8.370,4.16,24.50 ,present ,19.98 ,34.80 ,
04/11/2019,21:00:00,20.84,1.033,7.352,-1.74,0.71,-4.01,0.589,0.14,8.348,4.16,24.30 ,present ,19.98 ,34.80 ,
04/11/2019,21:15:00,21.05,0.287,7.307,-1.82,0.71,-4.01,0.306,0.03,8.341,4.16,24.50 ,present ,19.99 ,35.09 ,
04/11/2019,21:30:00,20.27,0.185,6.966,-1.78,0.71,-4.01,0.154,0.02,8.370,4.16,24.30 ,present ,19.98 ,34.80 ,
04/11/2019,21:45:00,19.08,0.291,6.626,-1.74,0.71,-4.01,0.220,0.04,8.414,4.16,23.70 ,present ,19.98 ,34.80 ,
04/11/2019,22:00:00,18.39,0.149,6.334,-1.72,0.71,-4.01,0.177,0.02,8.439,4.16,22.90 ,present ,19.98 ,34.80 ,
04/11/2019,22:15:00,17.92,0.266,6.150,-1.68,0.71,-4.01,0.292,0.03,8.454,4.16,22.50 ,present ,19.98 ,34.80 ,
