Serial Number:,PSY1I70J
APP Serial #:,03000711
Head Serial #:,2910
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,60,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
14/05/2019,08:25:56,23.98,-0.666,22.193,-5.83,1.00,-3.80,-0.050,-0.08,8.237,3.96,34.80 ,present ,19.60 ,139.50 ,
Serial Number:,PSY1I70J
APP Serial #:,03000711
Head Serial #:,2910
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,60,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
14/05/2019,08:40:00,23.84,-0.626,21.413,-5.63,1.00,-3.80,-0.523,-0.08,8.240,3.99,39.09 ,present ,19.60 ,140.39 ,
14/05/2019,09:00:00,23.52,-0.479,20.861,-5.52,1.00,-3.80,-0.698,-0.06,8.251,4.03,41.30 ,present ,19.61 ,140.70 ,
14/05/2019,09:20:00,23.63,-0.516,20.877,-5.51,1.00,-3.80,-0.843,-0.06,8.247,4.10,41.80 ,present ,19.61 ,140.70 ,
14/05/2019,09:40:00,23.82,-0.554,20.939,-5.50,1.00,-3.80,-0.765,-0.07,8.240,4.15,42.40 ,present ,19.59 ,139.20 ,
14/05/2019,10:00:00,23.77,-0.445,20.940,-5.49,1.00,-3.80,-0.807,-0.06,8.244,4.19,37.50 ,present ,19.54 ,65.10 ,
14/05/2019,10:20:00,23.59,-0.463,20.906,-5.51,1.00,-3.80,-0.686,-0.06,8.251,4.20,32.70 ,present ,19.54 ,37.80 ,
14/05/2019,10:40:00,23.42,-0.411,20.878,-5.53,1.00,-3.80,-0.446,-0.05,8.254,4.20,29.30 ,present ,19.54 ,34.20 ,
14/05/2019,11:00:00,23.28,-0.388,20.770,-5.52,1.00,-3.80,-0.409,-0.05,8.262,4.20,28.30 ,present ,19.54 ,33.90 ,
14/05/2019,11:20:00,23.19,-0.457,20.690,-5.52,1.00,-3.80,-0.503,-0.06,8.265,4.20,27.80 ,present ,19.54 ,33.59 ,
14/05/2019,11:40:00,23.10,-0.515,20.638,-5.53,1.00,-3.80,-0.391,-0.06,8.265,4.20,27.60 ,present ,19.54 ,33.59 ,
14/05/2019,12:00:00,22.98,-0.399,20.529,-5.50,1.00,-3.80,-0.388,-0.05,8.272,4.20,27.20 ,present ,19.54 ,33.59 ,
14/05/2019,12:20:00,22.88,-0.415,20.427,-5.49,1.00,-3.80,-0.284,-0.05,8.276,4.20,27.10 ,present ,19.54 ,33.59 ,
14/05/2019,12:40:01,22.78,-0.424,20.423,-5.51,1.00,-3.80,-0.338,-0.05,8.279,4.20,26.90 ,present ,19.54 ,33.59 ,
14/05/2019,13:00:00,22.67,-0.460,20.331,-5.50,1.00,-3.80,-0.428,-0.06,8.283,4.20,26.70 ,present ,19.54 ,33.30 ,
14/05/2019,13:20:00,22.57,-0.501,20.223,-5.49,1.00,-3.80,-0.450,-0.06,8.287,4.20,26.60 ,present ,19.54 ,33.59 ,
14/05/2019,13:40:00,22.45,-0.499,20.144,-5.49,1.00,-3.80,-0.316,-0.06,8.290,4.20,26.50 ,present ,19.54 ,33.30 ,
14/05/2019,14:00:00,22.36,-0.370,20.113,-5.48,1.00,-3.80,-0.407,-0.05,8.294,4.20,26.50 ,present ,19.54 ,33.30 ,
14/05/2019,14:20:00,22.29,-0.480,20.040,-5.49,1.00,-3.80,-0.321,-0.06,8.297,4.20,26.30 ,present ,19.54 ,33.59 ,
14/05/2019,14:40:00,22.24,-0.494,20.057,-5.50,1.00,-3.80,-0.419,-0.06,8.297,4.20,26.10 ,present ,19.54 ,33.30 ,
14/05/2019,15:00:00,22.25,-0.519,20.063,-5.51,1.00,-3.80,-0.392,-0.07,8.297,4.20,26.10 ,present ,19.54 ,33.30 ,
14/05/2019,15:20:00,22.26,-0.491,19.989,-5.48,1.00,-3.80,-0.286,-0.06,8.297,4.20,26.10 ,present ,19.54 ,33.30 ,
14/05/2019,15:40:00,22.26,-0.531,19.988,-5.48,1.00,-3.80,-0.383,-0.07,8.297,4.20,26.20 ,present ,19.54 ,33.30 ,
14/05/2019,16:00:00,22.28,-0.396,20.049,-5.48,1.00,-3.80,-0.373,-0.05,8.297,4.20,26.00 ,present ,19.54 ,33.30 ,
14/05/2019,16:20:00,22.28,-0.477,19.988,-5.47,1.00,-3.80,-0.481,-0.06,8.297,4.20,26.10 ,present ,19.54 ,33.30 ,
14/05/2019,16:40:00,22.24,-0.496,19.963,-5.47,1.00,-3.80,-0.512,-0.06,8.297,4.20,26.00 ,present ,19.54 ,33.30 ,
14/05/2019,17:00:00,22.24,-0.419,20.039,-5.49,1.00,-3.80,-0.401,-0.05,8.297,4.20,26.00 ,present ,19.54 ,33.30 ,
14/05/2019,17:20:00,22.21,-0.451,19.992,-5.48,1.00,-3.80,-0.356,-0.06,8.297,4.19,26.10 ,present ,19.54 ,33.30 ,
14/05/2019,17:40:00,22.15,-0.599,19.886,-5.48,1.00,-3.80,-0.457,-0.08,8.301,4.20,26.00 ,present ,19.54 ,33.30 ,
14/05/2019,18:00:00,22.13,-0.498,19.949,-5.49,1.00,-3.80,-0.264,-0.06,8.301,4.20,26.00 ,present ,19.54 ,33.30 ,
14/05/2019,18:20:00,22.11,-0.460,19.927,-5.48,1.00,-3.80,-0.415,-0.06,8.301,4.20,25.90 ,present ,19.54 ,33.30 ,
14/05/2019,18:40:00,22.03,-0.384,19.795,-5.45,1.00,-3.80,-0.545,-0.05,8.305,4.20,25.90 ,present ,19.54 ,33.30 ,
14/05/2019,19:00:00,22.00,-0.463,19.807,-5.47,1.00,-3.80,-0.367,-0.06,8.305,4.20,25.80 ,present ,19.54 ,33.30 ,
14/05/2019,19:20:00,21.98,-0.470,19.805,-5.47,1.00,-3.80,-0.478,-0.06,8.308,4.20,25.60 ,present ,19.54 ,33.30 ,
14/05/2019,19:40:00,21.91,-0.516,19.752,-5.47,1.00,-3.80,-0.481,-0.07,8.308,4.20,25.70 ,present ,19.54 ,33.30 ,
14/05/2019,20:00:00,21.87,-0.510,19.693,-5.46,1.00,-3.80,-0.479,-0.06,8.312,4.20,25.70 ,present ,19.54 ,33.30 ,
14/05/2019,20:20:00,21.82,-0.474,19.684,-5.46,1.00,-3.80,-0.320,-0.06,8.312,4.20,25.50 ,present ,19.54 ,33.00 ,
14/05/2019,20:40:00,21.78,-0.563,19.637,-5.47,1.00,-3.80,-0.401,-0.07,8.315,4.20,25.50 ,present ,19.54 ,33.30 ,
14/05/2019,21:00:00,21.73,-0.574,19.585,-5.46,1.00,-3.80,-0.386,-0.07,8.315,4.20,25.50 ,present ,19.54 ,33.30 ,
14/05/2019,21:20:00,21.68,-0.555,19.592,-5.47,1.00,-3.80,-0.455,-0.07,8.319,4.20,25.50 ,present ,19.54 ,33.30 ,
14/05/2019,21:40:00,21.58,-0.492,19.489,-5.45,1.00,-3.80,-0.481,-0.06,8.323,4.20,25.40 ,present ,19.54 ,33.30 ,
14/05/2019,22:00:00,21.56,-0.492,19.498,-5.45,1.00,-3.80,-0.427,-0.06,8.323,4.20,25.40 ,present ,19.54 ,33.30 ,
14/05/2019,22:20:00,21.60,-0.563,19.565,-5.48,1.00,-3.80,-0.405,-0.07,8.319,4.20,25.40 ,present ,19.54 ,33.30 ,
14/05/2019,22:40:00,21.61,-0.499,19.539,-5.46,1.00,-3.80,-0.325,-0.06,8.319,4.20,25.40 ,present ,19.54 ,33.30 ,
14/05/2019,23:00:00,21.63,-0.487,19.590,-5.47,1.00,-3.80,-0.359,-0.06,8.319,4.20,25.50 ,present ,19.54 ,33.30 ,
14/05/2019,23:20:00,21.99,-0.475,19.825,-5.47,1.00,-3.80,-0.436,-0.06,8.308,4.20,26.70 ,present ,19.54 ,33.90 ,
14/05/2019,09:00:00,23.23,-0.364,20.805,-5.53,1.00,-3.80,-0.300,-0.04,8.262,4.20,27.40 ,present ,19.54 ,33.90 ,
14/05/2019,09:20:00,24.12,-0.522,21.214,-5.52,1.00,-3.80,-0.504,-0.07,8.229,4.20,28.80 ,present ,19.54 ,33.59 ,
14/05/2019,09:40:00,24.66,-0.459,21.635,-5.54,1.00,-3.80,-0.388,-0.06,8.212,4.20,29.30 ,present ,19.54 ,33.59 ,
Serial Number:,PSY1I70J
APP Serial #:,03000711
Head Serial #:,2910
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,60,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
14/05/2019,09:50:00,24.92,-0.402,21.805,-5.54,1.00,-3.80,-0.438,-0.05,8.201,4.20,28.40 ,present ,19.54 ,33.59 ,
14/05/2019,10:00:00,25.12,-0.498,21.964,-5.56,1.00,-3.80,-0.474,-0.06,8.194,4.20,28.00 ,present ,19.54 ,33.90 ,
14/05/2019,10:10:00,25.33,-0.508,22.055,-5.55,1.00,-3.80,-0.570,-0.06,8.187,4.20,27.90 ,present ,19.54 ,33.90 ,
14/05/2019,10:20:00,25.39,-0.552,22.097,-5.56,1.00,-3.80,-0.546,-0.07,8.187,4.20,27.80 ,present ,19.54 ,33.90 ,
14/05/2019,10:30:00,25.51,-0.482,22.155,-5.55,1.00,-3.80,-0.438,-0.06,8.180,4.20,27.90 ,present ,19.54 ,33.90 ,
14/05/2019,10:40:00,25.63,-0.539,22.346,-5.58,1.00,-3.80,-0.509,-0.07,8.175,4.20,27.90 ,present ,19.54 ,34.20 ,
14/05/2019,10:50:00,25.82,-0.464,22.373,-5.55,1.00,-3.80,-0.531,-0.06,8.168,4.20,28.00 ,present ,19.54 ,33.90 ,
14/05/2019,11:00:00,25.90,-0.564,22.429,-5.57,1.00,-3.80,-0.397,-0.07,8.166,4.20,28.00 ,present ,19.54 ,33.90 ,
14/05/2019,11:10:00,25.87,-0.502,22.417,-5.56,1.00,-3.80,-0.528,-0.06,8.168,4.20,28.10 ,present ,19.54 ,33.90 ,
14/05/2019,11:20:00,25.82,-0.584,22.381,-5.57,1.00,-3.80,-0.491,-0.07,8.168,4.20,28.20 ,present ,19.54 ,33.59 ,
14/05/2019,11:30:00,25.71,-0.482,22.200,-5.53,1.00,-3.80,-0.445,-0.06,8.173,4.20,28.20 ,present ,19.54 ,33.90 ,
14/05/2019,11:40:00,25.49,-0.591,22.074,-5.54,1.00,-3.80,-0.579,-0.07,8.184,4.20,28.40 ,present ,19.54 ,33.90 ,
14/05/2019,11:50:00,25.67,-0.602,22.377,-5.60,1.00,-3.80,-0.373,-0.08,8.175,4.20,28.50 ,present ,19.54 ,33.90 ,
14/05/2019,12:00:59,26.07,-0.382,22.673,-5.58,1.00,-3.80,-0.346,-0.05,8.161,4.20,28.50 ,present ,19.54 ,33.90 ,
14/05/2019,12:10:00,26.09,-0.426,22.663,-5.58,1.00,-3.80,-0.403,-0.05,8.161,4.20,28.70 ,present ,19.54 ,33.59 ,
14/05/2019,12:20:00,25.92,-0.553,22.515,-5.59,1.00,-3.80,-0.441,-0.07,8.166,4.20,28.60 ,present ,19.54 ,33.59 ,
14/05/2019,12:30:00,25.69,-0.366,22.398,-5.57,1.00,-3.80,-0.353,-0.04,8.175,4.20,28.60 ,present ,19.54 ,33.90 ,
14/05/2019,12:40:00,25.52,-0.391,22.263,-5.56,1.00,-3.80,-0.344,-0.05,8.180,4.20,28.50 ,present ,19.54 ,33.90 ,
14/05/2019,12:50:00,25.33,-0.403,22.171,-5.57,1.00,-3.80,-0.479,-0.05,8.187,4.20,28.50 ,present ,19.54 ,33.90 ,
14/05/2019,13:00:00,25.24,-0.345,22.101,-5.56,1.00,-3.80,-0.348,-0.04,8.191,4.20,28.50 ,present ,19.54 ,33.90 ,
14/05/2019,13:10:00,25.07,-0.439,21.940,-5.55,1.00,-3.80,-0.363,-0.05,8.198,4.20,28.50 ,present ,19.54 ,33.90 ,
14/05/2019,13:20:00,24.97,-0.437,21.918,-5.56,1.00,-3.80,-0.448,-0.05,8.201,4.20,28.50 ,present ,19.54 ,33.90 ,
14/05/2019,13:30:00,24.88,-0.429,21.854,-5.56,1.00,-3.80,-0.384,-0.05,8.205,4.20,28.40 ,present ,19.54 ,33.90 ,
14/05/2019,13:40:00,24.83,-0.455,21.841,-5.57,1.00,-3.80,-0.471,-0.06,8.205,4.20,28.30 ,present ,19.54 ,33.90 ,
