Serial Number:,PSY1I70J
APP Serial #:,03000711
Head Serial #:,2910
App Ver:,R1-7-8
COM Ver:,R2-6-7
Instrument Name:,#3 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,60,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
04/11/2019,14:45:00,28.67,-1.145,0.013,-0.06,0.38,-4.11,-0.811,-0.15,8.071,4.16,37.00 ,present ,19.58 ,37.50 ,
04/11/2019,15:00:00,29.16,0.325,0.000,0.00,0.38,-4.11,0.112,0.04,8.055,4.16,36.80 ,present ,19.58 ,37.50 ,
04/11/2019,15:15:00,28.30,-0.799,0.208,-0.05,0.38,-4.11,-1.408,-0.10,8.082,4.16,35.80 ,present ,19.58 ,37.20 ,
04/11/2019,15:30:00,26.60,0.162,0.000,0.00,0.38,-4.11,-0.450,0.02,8.141,4.16,33.80 ,present ,19.58 ,37.20 ,
04/11/2019,15:45:00,25.43,-0.195,0.000,0.00,0.38,-4.11,-0.734,-0.02,8.184,4.16,32.09 ,present ,19.58 ,37.20 ,
04/11/2019,16:00:00,25.27,0.321,0.000,0.00,0.38,-4.11,0.143,0.04,8.191,4.16,31.00 ,present ,19.58 ,37.20 ,
04/11/2019,16:15:00,25.50,-0.211,0.000,0.00,0.38,-4.11,-0.527,-0.02,8.180,4.16,31.00 ,present ,19.58 ,37.20 ,
04/11/2019,16:30:00,25.56,-0.161,0.000,0.00,0.38,-4.11,-0.395,-0.02,8.180,4.16,30.80 ,present ,19.58 ,37.20 ,
04/11/2019,16:45:00,24.99,-0.133,0.000,0.00,0.38,-4.11,-0.506,-0.01,8.201,4.16,30.60 ,present ,19.58 ,37.20 ,
04/11/2019,17:00:00,24.24,0.117,0.000,0.00,0.38,-4.11,-0.318,0.01,8.226,4.16,29.80 ,present ,19.54 ,37.20 ,
04/11/2019,17:15:00,23.60,0.124,0.000,0.00,0.38,-4.11,-0.174,0.01,8.247,4.16,29.10 ,present ,19.54 ,36.90 ,
04/11/2019,17:30:00,23.12,0.082,0.000,0.00,0.38,-4.11,-0.175,0.01,8.265,4.16,28.70 ,present ,19.54 ,36.90 ,
04/11/2019,17:45:00,22.72,0.178,0.000,0.00,0.38,-4.11,-0.043,0.02,8.279,4.16,28.20 ,present ,19.58 ,36.90 ,
04/11/2019,18:00:00,21.93,1.129,0.000,0.00,0.38,-4.11,0.699,0.15,8.308,4.16,27.20 ,present ,19.54 ,36.90 ,
04/11/2019,18:15:00,21.60,-0.252,0.000,0.00,0.38,-4.11,-0.395,-0.03,8.319,4.16,26.80 ,present ,19.54 ,36.90 ,
04/11/2019,18:30:00,21.30,0.137,0.000,0.00,0.38,-4.11,-0.178,0.01,8.330,4.16,26.30 ,present ,19.54 ,36.90 ,
04/11/2019,18:45:00,21.14,0.994,0.000,0.00,0.38,-4.11,0.709,0.13,8.337,4.16,25.90 ,present ,19.54 ,36.90 ,
04/11/2019,19:00:00,21.22,0.761,0.000,0.00,0.38,-4.11,0.506,0.10,8.333,4.16,25.90 ,present ,19.54 ,36.90 ,
04/11/2019,19:15:00,21.38,0.355,0.000,0.00,0.38,-4.11,-0.177,0.04,8.330,4.16,26.00 ,present ,19.54 ,36.90 ,
04/11/2019,19:30:00,21.30,0.766,0.000,0.00,0.38,-4.11,0.486,0.10,8.330,4.16,25.80 ,present ,19.54 ,36.90 ,
04/11/2019,19:45:00,21.21,0.687,0.000,0.00,0.38,-4.11,0.417,0.09,8.333,4.16,25.30 ,present ,19.54 ,36.59 ,
04/11/2019,20:00:00,21.12,0.387,0.000,0.00,0.38,-4.11,0.259,0.05,8.337,4.16,25.10 ,present ,19.54 ,36.90 ,
04/11/2019,20:15:00,21.19,0.476,0.000,0.00,0.38,-4.11,0.364,0.06,8.337,4.16,24.90 ,present ,19.54 ,36.90 ,
04/11/2019,20:30:00,20.88,-0.629,0.000,0.00,0.38,-4.11,-0.742,-0.08,8.348,4.16,24.80 ,present ,19.54 ,36.59 ,
04/11/2019,20:45:00,20.01,0.373,0.000,0.00,0.38,-4.11,-0.013,0.05,8.377,4.16,24.40 ,present ,19.54 ,36.90 ,
04/11/2019,21:00:00,20.32,0.268,0.000,0.00,0.38,-4.11,0.226,0.03,8.366,4.16,24.30 ,present ,19.54 ,36.90 ,
04/11/2019,21:15:00,20.25,-0.329,0.000,0.00,0.38,-4.11,-0.449,-0.04,8.370,4.16,24.30 ,present ,19.54 ,36.90 ,
04/11/2019,21:30:00,19.32,-0.292,0.000,0.00,0.38,-4.11,-0.484,-0.04,8.403,4.16,24.20 ,present ,19.54 ,36.90 ,
04/11/2019,21:45:00,18.26,-0.217,0.000,0.00,0.38,-4.11,-0.377,-0.03,8.443,4.16,23.30 ,present ,19.54 ,36.59 ,
04/11/2019,22:00:00,17.72,-0.127,0.000,0.00,0.38,-4.11,-0.283,-0.01,8.462,4.16,22.60 ,present ,19.54 ,36.59 ,
04/11/2019,22:15:00,17.44,0.000,0.000,0.00,0.38,-4.11,-0.136,0.00,8.473,4.16,22.20 ,present ,19.54 ,36.59 ,
04/11/2019,22:30:00,17.13,-0.075,0.000,0.00,0.38,-4.11,-0.247,-0.01,8.484,4.16,21.80 ,present ,19.54 ,36.59 ,
04/11/2019,22:45:00,16.75,0.079,0.000,0.00,0.38,-4.11,-0.176,0.01,8.499,4.16,21.40 ,present ,19.54 ,36.30 ,
04/11/2019,23:00:00,16.39,-0.043,0.000,0.00,0.38,-4.11,-0.264,0.00,8.514,4.16,21.00 ,present ,19.54 ,36.59 ,
