"TOA5","CR1000_GH_D","CR1000","80551","CR1000.Std.29","CPU:Greenhouse_WP_3_BC.CR1","27519","Matric"
"TIMESTAMP","RECORD","Batt_volt","PTemp","Mp_1_Avg","Tp_1_Avg","Mp_2_Avg","Tp_2_Avg","WM_Avg(1)","WM_Avg(2)","ohms_Avg(1)","ohms_Avg(2)"
"TS","RN","","","kPa","Deg C","kPa","Deg C","kPa","kPa","kOhms","kOhms"
"","","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-10-23 16:30:00",0,13.6,23.47,-8.4,23.03,-8.6,22.05,-1.381,-1.706,0.613,0.629
"2019-10-23 16:45:00",1,13.6,22.95,-8.5,23.3,-8.7,22.35,-1.396,-1.733,0.62,0.637
"2019-10-23 17:00:00",2,13.6,22.73,-8.5,23.3,-8.7,22.4,-1.39,-1.742,0.62,0.637
"2019-10-23 17:15:00",3,13.6,22.53,-8.5,23.3,-8.7,22.4,-1.407,-1.756,0.62,0.638
"2019-10-23 17:30:00",4,13.6,22.47,-8.5,23.3,-8.7,22.4,-1.418,-1.753,0.621,0.638
"2019-10-23 17:45:00",5,13.6,22.36,-8.5,23.24,-8.7,22.38,-1.406,-1.758,0.62,0.638
"2019-10-23 18:00:00",6,13.6,22.33,-8.5,23.2,-8.7,22.3,-1.417,-1.748,0.621,0.637
"2019-10-23 18:15:00",7,13.6,22.33,-8.53,23.21,-8.67,22.3,-1.387,-1.736,0.619,0.637
"2019-10-23 18:30:00",8,13.6,22.22,-8.5,23.46,-8.6,22.3,-1.426,-1.7,0.621,0.635
"2019-10-23 18:45:00",9,13.62,21.86,-8.5,23.53,-8.6,22.3,-1.437,-1.695,0.622,0.635
"2019-10-23 19:00:00",10,13.62,21.84,-8.5,23.5,-8.6,22.3,-1.44,-1.703,0.622,0.635
"2019-10-23 19:15:00",11,13.62,21.7,-8.5,23.41,-8.6,22.3,-1.407,-1.701,0.62,0.635
"2019-10-23 19:30:00",12,13.62,21.59,-8.5,23.35,-8.6,22.3,-1.366,-1.689,0.618,0.634
"2019-10-23 19:45:00",13,13.62,21.07,-8.5,23.27,-8.6,22.3,-1.366,-1.696,0.618,0.635
"2019-10-23 20:00:00",14,13.65,20.91,-8.5,23.2,-8.6,22.23,-1.379,-1.709,0.619,0.635
"2019-10-23 20:15:00",15,13.65,21.15,-8.5,23.1,-8.6,22.2,-1.362,-1.707,0.618,0.635
"2019-10-23 20:30:00",16,13.65,21.18,-8.5,23.02,-8.6,22.19,-1.337,-1.716,0.617,0.636
"2019-10-23 20:45:00",17,13.65,20.91,-8.5,22.96,-8.6,22.1,-1.337,-1.698,0.617,0.635
"2019-10-23 21:00:00",18,13.66,20.5,-8.5,22.9,-8.6,22.1,-1.334,-1.71,0.617,0.635
"2019-10-23 21:15:00",19,13.65,20.21,-8.5,22.81,-8.6,22.07,-1.341,-1.731,0.617,0.637
"2019-10-23 21:30:00",20,13.68,19.94,-8.5,22.73,-8.6,22,-1.325,-1.72,0.616,0.636
"2019-10-23 21:45:00",21,13.69,19.68,-8.5,22.64,-8.6,21.93,-1.331,-1.725,0.617,0.636
"2019-10-23 22:00:00",22,13.68,19.39,-8.5,22.53,-8.6,21.88,-1.326,-1.725,0.616,0.636
"2019-10-23 22:15:00",23,13.68,19.15,-8.5,22.42,-8.61,21.8,-1.3,-1.729,0.615,0.636
"2019-10-23 22:30:00",24,13.71,19,-8.5,22.3,-8.63,21.7,-1.296,-1.737,0.615,0.637
"2019-10-23 22:45:00",25,13.71,18.79,-8.5,22.17,-8.64,21.62,-1.299,-1.745,0.615,0.637
"2019-10-23 23:00:00",26,13.71,18.64,-8.5,22.05,-8.64,21.53,-1.278,-1.742,0.614,0.637
"2019-10-23 23:15:00",27,13.71,18.53,-8.5,21.93,-8.68,21.44,-1.259,-1.733,0.613,0.637
"2019-10-23 23:30:00",28,13.71,18.43,-8.5,21.8,-8.67,21.35,-1.282,-1.75,0.614,0.637
"2019-10-23 23:45:00",29,13.74,18.33,-8.5,21.67,-8.69,21.26,-1.252,-1.765,0.613,0.638
"2019-10-24 00:00:00",30,13.75,18.28,-8.5,21.55,-8.7,21.17,-1.255,-1.759,0.613,0.638
"2019-10-24 00:15:00",31,13.74,18.2,-8.5,21.43,-8.7,21.09,-1.251,-1.769,0.613,0.638
"2019-10-24 00:30:00",32,13.74,18.12,-8.5,21.32,-8.7,21,-1.249,-1.776,0.612,0.639
"2019-10-24 00:45:00",33,13.73,18.05,-8.5,21.19,-8.7,20.91,-1.245,-1.771,0.612,0.639
