"by15","block","campbell_panel_temp_C","teros_MP_1_kPa","teros_soil_temp_1_C","teros_soil_temp_2_C","watermark_MP_1_kPa","watermark_MP_2_kPa","date"
2019-10-23 16:30:00,"D",24.22,-7.93,21.27,NA,-2.07,NA,2019-10-23
2019-10-23 16:30:00,"M",23.47,-8.4,23.03,22.05,NA,-1.706,2019-10-23
2019-10-23 16:45:00,"D",23.9,-8.5,22.8,NA,-2.279,NA,2019-10-23
2019-10-23 16:45:00,"M",22.95,-8.5,23.3,22.35,NA,-1.733,2019-10-23
2019-10-23 17:00:00,"D",23.61,-8.5,22.8,NA,-2.23,NA,2019-10-23
2019-10-23 17:00:00,"M",22.73,-8.5,23.3,22.4,NA,-1.742,2019-10-23
2019-10-23 17:15:00,"D",23.38,-8.5,22.7,NA,-2.227,NA,2019-10-23
2019-10-23 17:15:00,"M",22.53,-8.5,23.3,22.4,NA,-1.756,2019-10-23
2019-10-23 17:30:00,"D",23.18,-8.5,22.7,NA,-2.164,NA,2019-10-23
2019-10-23 17:30:00,"M",22.47,-8.5,23.3,22.4,NA,-1.753,2019-10-23
2019-10-23 17:45:00,"D",23.07,-8.5,22.66,NA,-2.194,NA,2019-10-23
2019-10-23 17:45:00,"M",22.36,-8.5,23.24,22.38,NA,-1.758,2019-10-23
2019-10-23 18:00:00,"D",22.98,-8.5,22.6,NA,-2.19,NA,2019-10-23
2019-10-23 18:00:00,"M",22.33,-8.5,23.2,22.3,NA,-1.748,2019-10-23
2019-10-23 18:15:00,"D",22.95,-8.5,22.6,NA,-2.179,NA,2019-10-23
2019-10-23 18:15:00,"M",22.33,-8.53,23.21,22.3,NA,-1.736,2019-10-23
2019-10-23 18:30:00,"D",22.9,-8.5,22.52,NA,-2.137,NA,2019-10-23
2019-10-23 18:30:00,"M",22.22,-8.5,23.46,22.3,NA,-1.7,2019-10-23
2019-10-23 18:45:00,"D",22.78,-8.5,22.5,NA,-2.131,NA,2019-10-23
2019-10-23 18:45:00,"M",21.86,-8.5,23.53,22.3,NA,-1.695,2019-10-23
2019-10-23 19:00:00,"D",22.64,-8.5,22.49,NA,-2.147,NA,2019-10-23
2019-10-23 19:00:00,"M",21.84,-8.5,23.5,22.3,NA,-1.703,2019-10-23
2019-10-23 19:15:00,"D",22.53,-8.5,22.4,NA,-2.114,NA,2019-10-23
2019-10-23 19:15:00,"M",21.7,-8.5,23.41,22.3,NA,-1.701,2019-10-23
2019-10-23 19:30:00,"D",22.45,-8.5,22.4,NA,-2.116,NA,2019-10-23
2019-10-23 19:30:00,"M",21.59,-8.5,23.35,22.3,NA,-1.689,2019-10-23
2019-10-23 19:45:00,"D",22.28,-8.5,22.36,NA,-2.124,NA,2019-10-23
2019-10-23 19:45:00,"M",21.07,-8.5,23.27,22.3,NA,-1.696,2019-10-23
2019-10-23 20:00:00,"D",22,-8.5,22.3,NA,-1.998,NA,2019-10-23
2019-10-23 20:00:00,"M",20.91,-8.5,23.2,22.23,NA,-1.709,2019-10-23
2019-10-23 20:15:00,"D",21.97,-8.5,22.27,NA,-2.092,NA,2019-10-23
2019-10-23 20:15:00,"M",21.15,-8.5,23.1,22.2,NA,-1.707,2019-10-23
2019-10-23 20:30:00,"D",21.95,-8.5,22.2,NA,-2.125,NA,2019-10-23
2019-10-23 20:30:00,"M",21.18,-8.5,23.02,22.19,NA,-1.716,2019-10-23
2019-10-23 20:45:00,"D",21.86,-8.5,22.2,NA,-2.113,NA,2019-10-23
2019-10-23 20:45:00,"M",20.91,-8.5,22.96,22.1,NA,-1.698,2019-10-23
2019-10-23 21:00:00,"D",21.64,-8.5,22.1,NA,-2.102,NA,2019-10-23
2019-10-23 21:00:00,"M",20.5,-8.5,22.9,22.1,NA,-1.71,2019-10-23
2019-10-23 21:15:00,"D",21.42,-8.5,22.09,NA,-2.127,NA,2019-10-23
2019-10-23 21:15:00,"M",20.21,-8.5,22.81,22.07,NA,-1.731,2019-10-23
2019-10-23 21:30:00,"D",21.23,-8.5,22,NA,-2.124,NA,2019-10-23
2019-10-23 21:30:00,"M",19.94,-8.5,22.73,22,NA,-1.72,2019-10-23
2019-10-23 21:45:00,"D",21.04,-8.5,21.95,NA,-2.109,NA,2019-10-23
2019-10-23 21:45:00,"M",19.68,-8.5,22.64,21.93,NA,-1.725,2019-10-23
2019-10-23 22:00:00,"D",20.83,-8.5,21.89,NA,-2.012,NA,2019-10-23
2019-10-23 22:00:00,"M",19.39,-8.5,22.53,21.88,NA,-1.725,2019-10-23
2019-10-23 22:15:00,"D",20.64,-8.5,21.8,NA,-2.083,NA,2019-10-23
2019-10-23 22:15:00,"M",19.15,-8.5,22.42,21.8,NA,-1.729,2019-10-23
2019-10-23 22:30:00,"D",20.5,-8.5,21.72,NA,-2.141,NA,2019-10-23
2019-10-23 22:30:00,"M",19,-8.5,22.3,21.7,NA,-1.737,2019-10-23
2019-10-23 22:45:00,"D",20.34,-8.5,21.64,NA,-2.147,NA,2019-10-23
2019-10-23 22:45:00,"M",18.79,-8.5,22.17,21.62,NA,-1.745,2019-10-23
2019-10-23 23:00:00,"D",20.21,-8.5,21.55,NA,-2.138,NA,2019-10-23
2019-10-23 23:00:00,"M",18.64,-8.5,22.05,21.53,NA,-1.742,2019-10-23
2019-10-23 23:15:00,"D",20.08,-8.5,21.47,NA,-2.129,NA,2019-10-23
2019-10-23 23:15:00,"M",18.53,-8.5,21.93,21.44,NA,-1.733,2019-10-23
2019-10-23 23:30:00,"D",20,-8.5,21.38,NA,-2.139,NA,2019-10-23
2019-10-23 23:30:00,"M",18.43,-8.5,21.8,21.35,NA,-1.75,2019-10-23
2019-10-23 23:45:00,"D",19.92,-8.5,21.29,NA,-2.148,NA,2019-10-23
2019-10-23 23:45:00,"M",18.33,-8.5,21.67,21.26,NA,-1.765,2019-10-23
2019-10-24 00:00:00,"D",19.84,-8.5,21.2,NA,-2.122,NA,2019-10-24
2019-10-24 00:00:00,"M",18.28,-8.5,21.55,21.17,NA,-1.759,2019-10-24
2019-10-24 00:15:00,"D",19.76,-8.5,21.1,NA,-2.119,NA,2019-10-24
2019-10-24 00:15:00,"M",18.2,-8.5,21.43,21.09,NA,-1.769,2019-10-24
2019-10-24 00:30:00,"D",19.68,-8.5,21.03,NA,-2.162,NA,2019-10-24
