"by15","wind_speed_m_s","position","treatment","block"
2019-10-24 12:30:00,0,"bottom","well_watered","W"
2019-10-24 12:45:00,0,"bottom","well_watered","W"
2019-10-24 13:00:00,0,"bottom","well_watered","W"
2019-10-24 13:15:00,0.00222962292868326,"bottom","well_watered","W"
2019-10-24 13:30:00,0.00141772910054205,"bottom","well_watered","W"
2019-10-24 13:45:00,0.00201015226213657,"bottom","well_watered","W"
2019-10-24 14:00:00,0.00109984041091041,"bottom","well_watered","W"
2019-10-24 14:15:00,0.00144054024682119,"bottom","well_watered","W"
2019-10-24 14:30:00,0.00137140364194653,"bottom","well_watered","W"
2019-10-24 14:45:00,0.000947845011719385,"bottom","well_watered","W"
2019-10-24 15:00:00,0.000804349379575159,"bottom","well_watered","W"
2019-10-24 15:15:00,0.00149156822038578,"bottom","well_watered","W"
2019-10-24 15:30:00,0.00199868427284789,"bottom","well_watered","W"
2019-10-24 15:45:00,0.00180970502013583,"bottom","well_watered","W"
2019-10-24 16:00:00,0.00148700503965,"bottom","well_watered","W"
2019-10-24 16:15:00,0.00105094407413327,"bottom","well_watered","W"
2019-10-24 16:30:00,0.000770043880916844,"bottom","well_watered","W"
2019-10-24 16:45:00,0.000356257797782221,"bottom","well_watered","W"
2019-10-24 17:00:00,0.0001397121715861,"bottom","well_watered","W"
2019-10-24 17:15:00,0.000292386710687672,"bottom","well_watered","W"
2019-10-24 17:30:00,0.000571490887265656,"bottom","well_watered","W"
2019-10-24 17:45:00,0.000588871136686519,"bottom","well_watered","W"
2019-10-24 18:00:00,0.000384566369486309,"bottom","well_watered","W"
2019-10-24 18:15:00,0.00041530916934956,"bottom","well_watered","W"
2019-10-24 18:30:00,0.00107038196076475,"bottom","well_watered","W"
2019-10-24 18:45:00,0.000846704464406874,"bottom","well_watered","W"
2019-10-24 19:00:00,0.000552803258437886,"bottom","well_watered","W"
2019-10-24 19:15:00,0.000950065384624478,"bottom","well_watered","W"
