"volumetric_water_content","pressure_potential_kPa"
0.139,-1516.75193693555
0.14,-1489.33896022445
0.141,-1462.33748424493
0.142,-1435.74534104738
0.143,-1409.56036268215
0.144,-1383.78038119959
0.145,-1358.40322865008
0.146,-1333.42673708397
0.147,-1308.84873855163
0.148,-1284.66706510341
0.149,-1260.88507185303
0.15,-1237.55751601886
0.151,-1214.68357955109
0.152,-1192.24380875187
0.153,-1170.21874992337
0.154,-1148.58894936776
0.155,-1127.33495338719
0.156,-1106.43730828383
0.157,-1085.87656035985
0.158,-1065.63325591741
0.159,-1045.70515849791
0.16,-1026.41324388645
0.161,-1007.83539118509
0.162,-989.905777729351
0.163,-972.558580854729
0.164,-955.727977896731
0.165,-939.348146190862
0.166,-923.353263072627
0.167,-907.67750587753
0.168,-892.255051941076
0.169,-877.02007859877
0.17,-861.906763186117
0.171,-846.849283038622
0.172,-831.78181549179
0.173,-816.642244540148
0.174,-801.613675714691
0.175,-786.827932905379
0.176,-772.285093657885
0.177,-757.985235517877
0.178,-743.928436031028
0.179,-730.114772743007
0.18,-716.544323199484
0.181,-703.217164946132
0.182,-690.13337552862
0.183,-677.293032492618
0.184,-664.696213383798
0.185,-652.342995747831
0.186,-640.233457130385
0.187,-628.367675077134
0.188,-616.745727133746
0.189,-605.367690845893
0.19,-594.324572232465
0.191,-583.69658914025
0.192,-573.455929898292
0.193,-563.574743102621
0.194,-554.025177349266
0.195,-544.779381234258
0.196,-535.809503353627
0.197,-527.087692303401
0.198,-518.586096679612
0.199,-510.276865078289
0.2,-502.132146095462
0.201,-494.124088327161
0.202,-486.224840369415
0.203,-478.406550818255
0.204,-470.641368269711
0.205,-462.901441319812
0.206,-455.180266382956
0.207,-447.507027298275
0.208,-439.887554201211
0.209,-432.327043708071
0.21,-424.83069243516
0.211,-417.403696998784
0.212,-410.051254015249
0.213,-402.778560100861
0.214,-395.590811871926
0.215,-388.493205944749
0.216,-381.490938935638
0.217,-374.589207460897
0.218,-367.795502687754
0.219,-361.116286338693
0.22,-354.54768582
0.221,-348.085399239614
0.222,-341.725124705476
0.223,-335.462560325527
0.224,-329.293404207709
0.225,-323.213354459961
0.226,-317.218109190226
0.227,-311.303366506444
0.228,-305.464824516555
0.229,-299.700501080966
0.23,-294.049033831041
0.231,-288.518246936133
0.232,-283.098536211276
0.233,-277.780297471504
0.234,-272.55392653185
0.235,-267.409819207347
0.236,-262.33837131303
0.237,-257.329978663932
0.238,-252.375037075086
0.239,-247.463942361526
0.24,-242.574765988446
0.241,-237.674573620787
0.242,-232.78512805079
0.243,-227.9318169744
0.244,-223.140028087561
0.245,-218.435149086217
0.246,-213.842567666314
0.247,-209.387671523794
